InChI,SMILES,Count
AAAATDNCYHYSKK-UHFFFAOYSA-N,C1CCC[NH+]CCC1,16
AAAXREMLGAJLCH-HUXGKSLCSA-N,O=C1C=C[C@H]2[C@@H]3CC[C@@H]4C[C@@H]4[C@@H]3C=CC[C@@H]12,2
AAAXREMLGAJLCH-KYTCRMMBSA-N,O=C1C=C[C@H]2[C@@H]3CC[C@H]4C[C@H]4[C@H]3C=CC[C@H]12,4
AAAXREMLGAJLCH-LQSBQDLSSA-N,O=C1C=C[C@H]2[C@H]3CC[C@H]4C[C@H]4[C@H]3C=CC[C@H]12,4
AAAXREMLGAJLCH-WHCZJHEKSA-N,O=C1C=C[C@H]2[C@H]3CC[C@H]4C[C@H]4[C@@H]3C=CC[C@H]12,4
AAAXREMLGAJLCH-XNBXPENISA-N,O=C1C=C[C@H]2[C@H]3CC[C@H]4C[C@H]4[C@@H]3C=CC[C@@H]12,4
AAAXREMLGAJLCH-YOVYLDAJSA-N,O=C1C=C[C@H]2[C@@H]3CC[C@@H]4C[C@H]4[C@@H]3C=CC[C@@H]12,2
AABLMOXKAOXTGJ-DZGCQCFKSA-N,c1ccc2c(c1)C[C@H]1c3ccccc3N[C@H]21,2
AABLMOXKAOXTGJ-HIFRSBDPSA-N,c1ccc2c(c1)C[C@@H]1c3ccccc3N[C@@H]21,2
AABLMOXKAOXTGJ-UKRRQHHQSA-N,c1ccc2c(c1)C[C@@H]1c3ccccc3N[C@H]21,2
AABLMOXKAOXTGJ-ZFWWWQNUSA-N,c1ccc2c(c1)C[C@H]1c3ccccc3N[C@@H]21,2
AABVFLVMJRYDRP-IYKVGLELSA-N,C1C[C@@H]2CC[C@@H]3O[C@H]4OCC[C@H](C1)[C@]24O3,4
AABVFLVMJRYDRP-PREPNJAASA-N,C1C[C@H]2CCO[C@@H]3O[C@H]4CC[C@H](C1)[C@@]23O4,4
AABVFLVMJRYDRP-VSSNEEPJSA-N,C1C[C@@H]2CCO[C@@H]3O[C@H]4CC[C@H](C1)[C@@]23O4,4
AACVULYSNJAKEQ-UHFFFAOYSA-N,O=c1cc[nH]c2ccsc12,148722
AAEGEIDSEILGAZ-UHFFFAOYSA-N,O=C1NC2NC(=O)N3COCN1C23,2
AAEKRKSQKJUIOL-COPLHBTASA-N,O=C1C[C@H]2c3ccccc3O[C@@]3(CCC[C@@H]23)N1,6
AAEKRKSQKJUIOL-GYSYKLTISA-N,O=C1C[C@@H]2c3ccccc3O[C@]3(CCC[C@H]23)N1,6
AAEKRKSQKJUIOL-JTNHKYCSSA-N,O=C1C[C@@H]2c3ccccc3O[C@@]3(CCC[C@H]23)N1,2
AAEKRKSQKJUIOL-MISXGVKJSA-N,O=C1C[C@H]2c3ccccc3O[C@@]3(CCC[C@H]23)N1,6
AAEKRKSQKJUIOL-WDMOLILDSA-N,O=C1C[C@H]2c3ccccc3O[C@]3(CCC[C@H]23)N1,6
AAEZMHSWRQVQEK-UHFFFAOYSA-N,C=C1CO1,4
AAFCUPWWBGQJMF-UHFFFAOYSA-N,O=C1CCCC2=C1CC1=C(CCCC1=O)O2,126
AAFLGUBMYHJBMX-UHFFFAOYSA-N,O=c1ccnc2sc3nc4ccccc4nc3n12,2
AAGCKUXFOGSFBR-UHFFFAOYSA-N,O=c1cnn2c(n1)SCC=N2,2
AAGFPTSOPGCENQ-COMQUAJESA-O,O=C1C=CC[C@@H]2[C@@H]3CCC[N@@H+]4CCC[C@H](CN12)[C@@H]34,2
AAGFPTSOPGCENQ-JLNYLFASSA-N,O=C1C=CC[C@@H]2[C@H]3CCCN4CCC[C@@H](CN12)[C@@H]34,2
AAGFPTSOPGCENQ-JLNYLFASSA-O,O=C1C=CC[C@@H]2[C@H]3CCC[N@@H+]4CCC[C@@H](CN12)[C@@H]34,4
AAGFPTSOPGCENQ-QVHKTLOISA-O,O=C1C=CC[C@@H]2[C@@H]3CCC[N@@H+]4CCC[C@H](CN12)[C@H]34,2
AAGFPTSOPGCENQ-RMRHIDDWSA-O,O=C1C=CC[C@@H]2[C@@H]3CCC[N@@H+]4CCC[C@@H](CN12)[C@H]34,2
AAGFPTSOPGCENQ-UKTARXLSSA-N,O=C1C=CC[C@H]2[C@@H]3CCCN4CCC[C@H](CN12)[C@H]34,2
AAGFPTSOPGCENQ-UKTARXLSSA-O,O=C1C=CC[C@H]2[C@@H]3CCC[N@H+]4CCC[C@H](CN12)[C@H]34,2
AAGFPTSOPGCENQ-XPCVCDNBSA-O,O=C1C=CC[C@@H]2[C@@H]3CCC[N@@H+]4CCC[C@@H](CN12)[C@@H]34,2
AAGKOSZRIPWGLZ-UHFFFAOYSA-N,O=C1NC2(CCC3(CC2)OCCO3)NC12CC2,20
AAHAGKPOJYBDSK-BAFIMQKQSA-N,O=C1C[C@@H]2COCCN2C(=O)[C@]23[C@@H]4C[C@H](CC[C@@H]42)[C@@H]3N1,2
AAHAGKPOJYBDSK-JWJCIKSLSA-N,O=C1C[C@H]2COCCN2C(=O)[C@]23[C@@H]4C[C@H](CC[C@@H]42)[C@H]3N1,2
AAHAGKPOJYBDSK-KMZXCSPKSA-N,O=C1C[C@@H]2COCCN2C(=O)[C@]23[C@@H]4C[C@H](CC[C@@H]42)[C@H]3N1,2
