Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
0,-3.107,0_prepared-1_out.pdbqt,1,-7.337,-12.694,10.631
1,-4.044,1_prepared-1_out.pdbqt,1,,,
2,-4.071,2_prepared-1_out.pdbqt,1,,,
3,-4.250,3_prepared-1_out.pdbqt,1,,,
4,-4.688,4_prepared-2_out.pdbqt,2,,,
5,-4.884,5_prepared-1_out.pdbqt,1,,,
6,-4.501,6_prepared-1_out.pdbqt,1,,,
7,-5.334,7_prepared-1_out.pdbqt,1,,,
8,-8.043,8_prepared-1_out.pdbqt,1,,,
9,-7.809,9_prepared-1_out.pdbqt,1,,,
10,-7.369,10_prepared-1_out.pdbqt,1,,,
12,-8.327,12_prepared-1_out.pdbqt,1,,,
13,-8.429,13_prepared-1_out.pdbqt,1,,,
14,-8.530,14_prepared-2_out.pdbqt,2,,,
16,-7.610,16_prepared-1_out.pdbqt,1,,,
19,-7.893,19_prepared-1_out.pdbqt,1,,,
20,-7.496,20_prepared-1_out.pdbqt,1,,,
21,-8.331,21_prepared-2_out.pdbqt,3,,,
22,-8.837,22_prepared-1_out.pdbqt,1,,,
23,-8.908,23_prepared-1_out.pdbqt,1,,,
26,-9.266,26_prepared-1_out.pdbqt,1,,,
27,-10.331,27_prepared-1_out.pdbqt,2,,,
28,-9.711,28_prepared-2_out.pdbqt,2,,,
29,-10.241,29_prepared-1_out.pdbqt,1,,,
30,-9.181,30_prepared-1_out.pdbqt,1,,,
31,-10.848,31_prepared-1_out.pdbqt,1,,,
32,-7.859,32_prepared-1_out.pdbqt,1,,,
33,-8.617,33_prepared-1_out.pdbqt,1,,,
34,-11.300,34_prepared-1_out.pdbqt,1,,,
35,-8.990,35_prepared-1_out.pdbqt,1,,,
36,-9.412,36_prepared-1_out.pdbqt,1,,,
37,-6.568,37_prepared-1_out.pdbqt,1,,,
38,-11.981,38_prepared-1_out.pdbqt,1,,,
39,-1.575,39_prepared-1_out.pdbqt,1,,,
40,-11.128,40_prepared-1_out.pdbqt,1,,,
41,-9.702,41_prepared-1_out.pdbqt,1,,,
42,-12.433,42_prepared-3_out.pdbqt,3,,,
43,-12.474,43_prepared-2_out.pdbqt,2,,,
44,-3.543,44_prepared-1_out.pdbqt,1,,,
45,-12.381,45_prepared-1_out.pdbqt,1,,,
46,-10.004,46_prepared-1_out.pdbqt,1,,,
47,-5.510,47_prepared-1_out.pdbqt,1,,,
