Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
116,-12.041,ligand116_prepared-1_out.pdbqt,1,-12.402,-14.299,-12.032
698,-12.668,ligand698_prepared-2_out.pdbqt,1,,,
935,-12.566,ligand935_prepared-1_out.pdbqt,1,,,
1127,-12.439,ligand1127_prepared-1_out.pdbqt,1,,,
2676,-12.512,ligand2676_prepared-1_out.pdbqt,1,,,
2836,-12.426,ligand2836_prepared-1_out.pdbqt,1,,,
3105,-12.640,ligand3105_prepared-3_out.pdbqt,1,,,
4223,-12.526,ligand4223_prepared-2_out.pdbqt,1,,,
4437,-12.732,ligand4437_prepared-1_out.pdbqt,1,,,
4462,-12.470,ligand4462_prepared-1_out.pdbqt,1,,,
4489,-12.365,ligand4489_prepared-1_out.pdbqt,1,,,
4607,-12.045,ligand4607_prepared-1_out.pdbqt,1,,,
4870,-12.563,ligand4870_prepared-1_out.pdbqt,1,,,
4950,-12.560,ligand4950_prepared-1_out.pdbqt,1,,,
4952,-12.121,ligand4952_prepared-1_out.pdbqt,1,,,
5203,-12.196,ligand5203_prepared-1_out.pdbqt,1,,,
5213,-12.691,ligand5213_prepared-1_out.pdbqt,1,,,
5673,-12.500,ligand5673_prepared-2_out.pdbqt,1,,,
5958,-12.040,ligand5958_prepared-1_out.pdbqt,1,,,
5994,-12.513,ligand5994_prepared-1_out.pdbqt,1,,,
6005,-12.190,ligand6005_prepared-1_out.pdbqt,1,,,
6171,-12.048,ligand6171_prepared-1_out.pdbqt,1,,,
8093,-12.043,ligand8093_prepared-1_out.pdbqt,1,,,
8662,-12.081,ligand8662_prepared-1_out.pdbqt,1,,,
8877,-12.246,ligand8877_prepared-1_out.pdbqt,1,,,
9083,-12.082,ligand9083_prepared-1_out.pdbqt,1,,,
9155,-12.192,ligand9155_prepared-2_out.pdbqt,1,,,
9156,-12.312,ligand9156_prepared-1_out.pdbqt,1,,,
9253,-12.858,ligand9253_prepared-7_out.pdbqt,1,,,
9285,-12.473,ligand9285_prepared-3_out.pdbqt,1,,,
9793,-12.210,ligand9793_prepared-2_out.pdbqt,1,,,
9899,-12.210,ligand9899_prepared-1_out.pdbqt,1,,,
10092,-12.180,ligand10092_prepared-1_out.pdbqt,1,,,
10512,-12.223,ligand10512_prepared-2_out.pdbqt,1,,,
10513,-12.433,ligand10513_prepared-1_out.pdbqt,1,,,
11394,-12.268,ligand11394_prepared-1_out.pdbqt,1,,,
11397,-12.165,ligand11397_prepared-1_out.pdbqt,1,,,
11629,-12.915,ligand11629_prepared-1_out.pdbqt,1,,,
11701,-12.602,ligand11701_prepared-2_out.pdbqt,1,,,
12389,-12.258,ligand12389_prepared-1_out.pdbqt,1,,,
12444,-12.161,ligand12444_prepared-1_out.pdbqt,1,,,
12646,-12.424,ligand12646_prepared-1_out.pdbqt,1,,,
13608,-12.149,ligand13608_prepared-2_out.pdbqt,1,,,
14612,-12.157,ligand14612_prepared-1_out.pdbqt,1,,,
15156,-13.313,ligand15156_prepared-2_out.pdbqt,1,,,
15417,-12.455,ligand15417_prepared-1_out.pdbqt,1,,,
16545,-12.391,ligand16545_prepared-2_out.pdbqt,1,,,
16804,-12.810,ligand16804_prepared-1_out.pdbqt,1,,,
16805,-12.621,ligand16805_prepared-1_out.pdbqt,1,,,
16925,-13.619,ligand16925_prepared-3_out.pdbqt,1,,,
17762,-12.296,ligand17762_prepared-1_out.pdbqt,1,,,
18027,-12.908,ligand18027_prepared-2_out.pdbqt,1,,,
18179,-12.424,ligand18179_prepared-1_out.pdbqt,1,,,
18223,-12.033,ligand18223_prepared-1_out.pdbqt,1,,,
18684,-12.133,ligand18684_prepared-1_out.pdbqt,1,,,
19139,-12.413,ligand19139_prepared-1_out.pdbqt,1,,,
20298,-12.269,ligand20298_prepared-1_out.pdbqt,1,,,
20405,-12.283,ligand20405_prepared-1_out.pdbqt,1,,,
20832,-13.241,ligand20832_prepared-1_out.pdbqt,1,,,
20841,-12.193,ligand20841_prepared-1_out.pdbqt,1,,,
20992,-12.999,ligand20992_prepared-3_out.pdbqt,1,,,
21036,-12.724,ligand21036_prepared-1_out.pdbqt,1,,,
21821,-12.076,ligand21821_prepared-1_out.pdbqt,1,,,
22168,-12.294,ligand22168_prepared-2_out.pdbqt,1,,,
22204,-13.679,ligand22204_prepared-1_out.pdbqt,1,,,
22303,-12.336,ligand22303_prepared-1_out.pdbqt,1,,,
22734,-12.179,ligand22734_prepared-1_out.pdbqt,1,,,
23689,-12.188,ligand23689_prepared-1_out.pdbqt,1,,,
23788,-13.324,ligand23788_prepared-1_out.pdbqt,1,,,
23792,-12.511,ligand23792_prepared-8_out.pdbqt,1,,,
23930,-12.594,ligand23930_prepared-1_out.pdbqt,1,,,
23935,-12.141,ligand23935_prepared-1_out.pdbqt,1,,,
24021,-12.131,ligand24021_prepared-2_out.pdbqt,1,,,
24467,-12.114,ligand24467_prepared-1_out.pdbqt,1,,,
25602,-12.426,ligand25602_prepared-2_out.pdbqt,1,,,
26017,-13.457,ligand26017_prepared-1_out.pdbqt,1,,,
26196,-12.204,ligand26196_prepared-1_out.pdbqt,1,,,
27309,-12.392,ligand27309_prepared-1_out.pdbqt,1,,,
27622,-12.048,ligand27622_prepared-1_out.pdbqt,1,,,
28468,-12.439,ligand28468_prepared-1_out.pdbqt,1,,,
28575,-12.159,ligand28575_prepared-2_out.pdbqt,1,,,
28599,-12.903,ligand28599_prepared-1_out.pdbqt,1,,,
29496,-12.792,ligand29496_prepared-2_out.pdbqt,1,,,
30042,-12.220,ligand30042_prepared-1_out.pdbqt,1,,,
30139,-12.767,ligand30139_prepared-2_out.pdbqt,1,,,
30166,-12.146,ligand30166_prepared-1_out.pdbqt,1,,,
30303,-12.124,ligand30303_prepared-1_out.pdbqt,1,,,
30636,-12.414,ligand30636_prepared-1_out.pdbqt,1,,,
30929,-12.565,ligand30929_prepared-3_out.pdbqt,1,,,
31420,-12.089,ligand31420_prepared-1_out.pdbqt,1,,,
31501,-12.203,ligand31501_prepared-1_out.pdbqt,1,,,
31502,-13.057,ligand31502_prepared-1_out.pdbqt,1,,,
31542,-12.558,ligand31542_prepared-1_out.pdbqt,1,,,
31548,-12.434,ligand31548_prepared-1_out.pdbqt,1,,,
32057,-12.158,ligand32057_prepared-1_out.pdbqt,1,,,
33450,-12.098,ligand33450_prepared-1_out.pdbqt,1,,,
33881,-12.283,ligand33881_prepared-1_out.pdbqt,1,,,
34039,-12.372,ligand34039_prepared-1_out.pdbqt,1,,,
34050,-12.341,ligand34050_prepared-1_out.pdbqt,1,,,
35126,-12.206,ligand35126_prepared-1_out.pdbqt,1,,,
35351,-14.299,ligand35351_prepared-1_out.pdbqt,1,,,
35895,-12.070,ligand35895_prepared-1_out.pdbqt,1,,,
36041,-12.262,ligand36041_prepared-2_out.pdbqt,1,,,
36208,-12.397,ligand36208_prepared-1_out.pdbqt,1,,,
36868,-12.164,ligand36868_prepared-1_out.pdbqt,1,,,
36879,-12.843,ligand36879_prepared-1_out.pdbqt,1,,,
37127,-12.891,ligand37127_prepared-1_out.pdbqt,1,,,
37283,-12.266,ligand37283_prepared-1_out.pdbqt,1,,,
37791,-12.378,ligand37791_prepared-1_out.pdbqt,1,,,
38174,-12.479,ligand38174_prepared-2_out.pdbqt,1,,,
38268,-12.152,ligand38268_prepared-1_out.pdbqt,1,,,
39169,-12.221,ligand39169_prepared-2_out.pdbqt,1,,,
39179,-12.771,ligand39179_prepared-2_out.pdbqt,1,,,
39194,-12.189,ligand39194_prepared-1_out.pdbqt,1,,,
39238,-12.107,ligand39238_prepared-1_out.pdbqt,1,,,
39339,-12.106,ligand39339_prepared-1_out.pdbqt,1,,,
39583,-12.082,ligand39583_prepared-1_out.pdbqt,1,,,
39794,-12.152,ligand39794_prepared-2_out.pdbqt,1,,,
40413,-12.598,ligand40413_prepared-2_out.pdbqt,1,,,
40498,-12.211,ligand40498_prepared-9_out.pdbqt,1,,,
40514,-12.455,ligand40514_prepared-1_out.pdbqt,1,,,
40663,-12.076,ligand40663_prepared-1_out.pdbqt,1,,,
40802,-12.439,ligand40802_prepared-10_out.pdbqt,1,,,
41683,-12.501,ligand41683_prepared-1_out.pdbqt,1,,,
41728,-12.234,ligand41728_prepared-1_out.pdbqt,1,,,
41747,-12.982,ligand41747_prepared-1_out.pdbqt,1,,,
41861,-12.997,ligand41861_prepared-1_out.pdbqt,1,,,
42097,-12.395,ligand42097_prepared-1_out.pdbqt,1,,,
42408,-12.235,ligand42408_prepared-1_out.pdbqt,1,,,
42437,-12.236,ligand42437_prepared-4_out.pdbqt,1,,,
42542,-13.560,ligand42542_prepared-1_out.pdbqt,1,,,
42681,-12.870,ligand42681_prepared-1_out.pdbqt,1,,,
42896,-12.118,ligand42896_prepared-1_out.pdbqt,1,,,
43105,-12.250,ligand43105_prepared-1_out.pdbqt,1,,,
43394,-13.616,ligand43394_prepared-1_out.pdbqt,1,,,
43489,-12.672,ligand43489_prepared-1_out.pdbqt,1,,,
43572,-12.267,ligand43572_prepared-1_out.pdbqt,1,,,
45082,-12.043,ligand45082_prepared-1_out.pdbqt,1,,,
46096,-12.615,ligand46096_prepared-1_out.pdbqt,1,,,
46429,-12.283,ligand46429_prepared-1_out.pdbqt,1,,,
46479,-12.406,ligand46479_prepared-1_out.pdbqt,1,,,
47353,-12.153,ligand47353_prepared-1_out.pdbqt,1,,,
47390,-12.097,ligand47390_prepared-1_out.pdbqt,1,,,
47799,-12.129,ligand47799_prepared-1_out.pdbqt,1,,,
48011,-12.197,ligand48011_prepared-1_out.pdbqt,1,,,
48033,-12.275,ligand48033_prepared-2_out.pdbqt,1,,,
48299,-12.295,ligand48299_prepared-2_out.pdbqt,1,,,
48900,-12.050,ligand48900_prepared-1_out.pdbqt,1,,,
49459,-12.081,ligand49459_prepared-1_out.pdbqt,1,,,
50126,-12.589,ligand50126_prepared-2_out.pdbqt,1,,,
50829,-12.421,ligand50829_prepared-1_out.pdbqt,1,,,
51209,-12.396,ligand51209_prepared-3_out.pdbqt,1,,,
51214,-12.228,ligand51214_prepared-1_out.pdbqt,1,,,
51340,-12.434,ligand51340_prepared-3_out.pdbqt,1,,,
51362,-12.308,ligand51362_prepared-1_out.pdbqt,1,,,
52036,-12.343,ligand52036_prepared-1_out.pdbqt,1,,,
52255,-12.688,ligand52255_prepared-1_out.pdbqt,1,,,
54515,-12.655,ligand54515_prepared-1_out.pdbqt,1,,,
54559,-12.165,ligand54559_prepared-1_out.pdbqt,1,,,
55037,-12.236,ligand55037_prepared-1_out.pdbqt,1,,,
55188,-12.668,ligand55188_prepared-1_out.pdbqt,1,,,
55654,-12.034,ligand55654_prepared-3_out.pdbqt,1,,,
55860,-13.060,ligand55860_prepared-1_out.pdbqt,1,,,
56297,-12.050,ligand56297_prepared-3_out.pdbqt,1,,,
56410,-12.282,ligand56410_prepared-1_out.pdbqt,1,,,
57498,-12.165,ligand57498_prepared-8_out.pdbqt,1,,,
58012,-12.427,ligand58012_prepared-3_out.pdbqt,1,,,
58123,-12.253,ligand58123_prepared-1_out.pdbqt,1,,,
58283,-12.780,ligand58283_prepared-1_out.pdbqt,1,,,
