Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
1,-10.274,1_shifted_prepared-1_out.pdbqt,1,-10.963,-12.742,-7.804
2,-10.577,2_shifted_prepared-1_out.pdbqt,1,,,
3,-11.051,3_shifted_prepared-1_out.pdbqt,1,,,
4,-11.202,4_shifted_prepared-1_out.pdbqt,1,,,
5,-11.685,5_shifted_prepared-1_out.pdbqt,1,,,
6,-12.544,6_shifted_prepared-1_out.pdbqt,1,,,
7,-11.504,7_shifted_prepared-1_out.pdbqt,1,,,
8,-10.763,8_shifted_prepared-1_out.pdbqt,1,,,
9,-11.037,9_shifted_prepared-1_out.pdbqt,1,,,
10,-10.948,10_shifted_prepared-1_out.pdbqt,1,,,
11,-11.147,11_shifted_prepared-1_out.pdbqt,1,,,
12,-11.305,12_shifted_prepared-1_out.pdbqt,1,,,
13,-11.815,13_shifted_prepared-1_out.pdbqt,1,,,
14,-11.235,14_shifted_prepared-1_out.pdbqt,1,,,
15,-11.614,15_shifted_prepared-1_out.pdbqt,1,,,
16,-11.595,16_shifted_prepared-1_out.pdbqt,1,,,
17,-10.844,17_shifted_prepared-1_out.pdbqt,1,,,
18,-10.245,18_shifted_prepared-1_out.pdbqt,1,,,
19,-10.075,19_shifted_prepared-1_out.pdbqt,1,,,
20,-10.628,20_shifted_prepared-1_out.pdbqt,1,,,
21,-11.724,21_shifted_prepared-1_out.pdbqt,1,,,
22,-10.936,22_shifted_prepared-1_out.pdbqt,1,,,
23,-11.589,23_shifted_prepared-1_out.pdbqt,1,,,
24,-11.160,24_shifted_prepared-1_out.pdbqt,1,,,
25,-11.325,25_shifted_prepared-1_out.pdbqt,1,,,
26,-10.680,26_shifted_prepared-1_out.pdbqt,1,,,
27,-9.908,27_shifted_prepared-1_out.pdbqt,1,,,
28,-10.252,28_shifted_prepared-1_out.pdbqt,1,,,
29,-10.821,29_shifted_prepared-1_out.pdbqt,1,,,
30,-9.223,30_shifted_prepared-1_out.pdbqt,1,,,
31,-11.890,31_shifted_prepared-1_out.pdbqt,1,,,
32,-11.490,32_shifted_prepared-1_out.pdbqt,1,,,
33,-11.330,33_shifted_prepared-1_out.pdbqt,1,,,
34,-11.639,34_shifted_prepared-1_out.pdbqt,1,,,
35,-11.320,35_shifted_prepared-1_out.pdbqt,1,,,
36,-12.316,36_shifted_prepared-1_out.pdbqt,1,,,
37,-10.424,37_shifted_prepared-1_out.pdbqt,1,,,
