Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
0,-9.493,0_shifted_prepared-2_out.pdbqt,2,-10.450,-12.860,-3.227
1,-11.244,1_shifted_prepared-1_out.pdbqt,1,,,
2,-9.970,2_shifted_prepared-1_out.pdbqt,1,,,
3,-10.622,3_shifted_prepared-1_out.pdbqt,3,,,
4,-11.905,4_shifted_prepared-1_out.pdbqt,1,,,
5,-11.343,5_shifted_prepared-1_out.pdbqt,1,,,
6,-11.352,6_shifted_prepared-1_out.pdbqt,1,,,
7,-10.177,7_shifted_prepared-1_out.pdbqt,4,,,
8,-10.976,8_shifted_prepared-2_out.pdbqt,3,,,
9,-6.911,9_shifted_prepared-1_out.pdbqt,1,,,
10,-11.845,10_shifted_prepared-1_out.pdbqt,1,,,
11,-10.622,11_shifted_prepared-1_out.pdbqt,1,,,
12,-10.766,12_shifted_prepared-1_out.pdbqt,1,,,
13,-9.498,13_shifted_prepared-1_out.pdbqt,1,,,
15,-9.508,15_shifted_prepared-1_out.pdbqt,1,,,
16,-12.356,16_shifted_prepared-1_out.pdbqt,1,,,
17,-11.031,17_shifted_prepared-1_out.pdbqt,1,,,
18,-10.017,18_shifted_prepared-1_out.pdbqt,1,,,
19,-10.903,19_shifted_prepared-1_out.pdbqt,1,,,
21,-11.544,21_shifted_prepared-1_out.pdbqt,1,,,
22,-11.201,22_shifted_prepared-1_out.pdbqt,1,,,
23,-11.775,23_shifted_prepared-1_out.pdbqt,2,,,
24,-11.209,24_shifted_prepared-1_out.pdbqt,1,,,
25,-10.994,25_shifted_prepared-1_out.pdbqt,1,,,
26,-10.700,26_shifted_prepared-1_out.pdbqt,1,,,
27,-10.623,27_shifted_prepared-1_out.pdbqt,1,,,
28,-11.327,28_shifted_prepared-1_out.pdbqt,2,,,
29,-7.283,29_shifted_prepared-1_out.pdbqt,1,,,
30,-8.316,30_shifted_prepared-1_out.pdbqt,1,,,
31,-8.788,31_shifted_prepared-1_out.pdbqt,1,,,
32,-10.081,32_shifted_prepared-1_out.pdbqt,1,,,
33,-9.889,33_shifted_prepared-1_out.pdbqt,1,,,
34,-11.735,34_shifted_prepared-1_out.pdbqt,1,,,
35,-10.530,35_shifted_prepared-1_out.pdbqt,1,,,
36,-10.075,36_shifted_prepared-1_out.pdbqt,1,,,
37,-9.971,37_shifted_prepared-1_out.pdbqt,1,,,
38,-10.812,38_shifted_prepared-1_out.pdbqt,1,,,
39,-10.390,39_shifted_prepared-1_out.pdbqt,1,,,
40,-7.749,40_shifted_prepared-1_out.pdbqt,1,,,
41,-12.065,41_shifted_prepared-1_out.pdbqt,1,,,
42,-11.049,42_shifted_prepared-1_out.pdbqt,1,,,
43,-10.238,43_shifted_prepared-1_out.pdbqt,1,,,
44,-11.697,44_shifted_prepared-1_out.pdbqt,1,,,
45,-9.809,45_shifted_prepared-1_out.pdbqt,1,,,
46,-10.365,46_shifted_prepared-1_out.pdbqt,1,,,
48,-9.666,48_shifted_prepared-1_out.pdbqt,2,,,
49,-10.916,49_shifted_prepared-1_out.pdbqt,2,,,
50,-11.829,50_shifted_prepared-1_out.pdbqt,1,,,
51,-11.134,51_shifted_prepared-1_out.pdbqt,1,,,
52,-9.689,52_shifted_prepared-1_out.pdbqt,1,,,
53,-10.025,53_shifted_prepared-1_out.pdbqt,2,,,
54,-10.224,54_shifted_prepared-1_out.pdbqt,1,,,
55,-11.580,55_shifted_prepared-1_out.pdbqt,1,,,
56,-11.358,56_shifted_prepared-1_out.pdbqt,1,,,
57,-11.179,57_shifted_prepared-1_out.pdbqt,1,,,
58,-11.292,58_shifted_prepared-1_out.pdbqt,1,,,
59,-11.334,59_shifted_prepared-1_out.pdbqt,1,,,
60,-9.897,60_shifted_prepared-1_out.pdbqt,1,,,
61,-11.170,61_shifted_prepared-1_out.pdbqt,1,,,
62,-12.068,62_shifted_prepared-5_out.pdbqt,6,,,
63,-11.493,63_shifted_prepared-1_out.pdbqt,1,,,
65,-12.242,65_shifted_prepared-1_out.pdbqt,1,,,
66,-11.434,66_shifted_prepared-1_out.pdbqt,1,,,
67,-11.415,67_shifted_prepared-1_out.pdbqt,1,,,
68,-10.451,68_shifted_prepared-1_out.pdbqt,1,,,
70,-10.698,70_shifted_prepared-1_out.pdbqt,1,,,
71,-11.466,71_shifted_prepared-1_out.pdbqt,2,,,
72,-10.520,72_shifted_prepared-1_out.pdbqt,1,,,
73,-9.599,73_shifted_prepared-1_out.pdbqt,1,,,
74,-10.408,74_shifted_prepared-1_out.pdbqt,1,,,
75,-11.323,75_shifted_prepared-1_out.pdbqt,1,,,
76,-11.596,76_shifted_prepared-1_out.pdbqt,1,,,
77,-11.775,77_shifted_prepared-1_out.pdbqt,1,,,
78,-10.204,78_shifted_prepared-1_out.pdbqt,1,,,
79,-8.526,79_shifted_prepared-1_out.pdbqt,1,,,
80,-9.418,80_shifted_prepared-1_out.pdbqt,1,,,
81,-8.934,81_shifted_prepared-1_out.pdbqt,1,,,
82,-11.153,82_shifted_prepared-2_out.pdbqt,2,,,
83,-10.474,83_shifted_prepared-1_out.pdbqt,1,,,
84,-11.681,84_shifted_prepared-1_out.pdbqt,1,,,
85,-11.176,85_shifted_prepared-1_out.pdbqt,1,,,
86,-10.587,86_shifted_prepared-1_out.pdbqt,1,,,
87,-7.114,87_shifted_prepared-1_out.pdbqt,1,,,
88,-11.092,88_shifted_prepared-1_out.pdbqt,1,,,
89,-11.371,89_shifted_prepared-1_out.pdbqt,1,,,
91,-11.591,91_shifted_prepared-1_out.pdbqt,1,,,
92,-11.396,92_shifted_prepared-1_out.pdbqt,1,,,
93,-11.193,93_shifted_prepared-1_out.pdbqt,1,,,
94,-10.632,94_shifted_prepared-1_out.pdbqt,1,,,
95,-11.187,95_shifted_prepared-1_out.pdbqt,1,,,
96,-11.439,96_shifted_prepared-1_out.pdbqt,1,,,
97,-10.616,97_shifted_prepared-1_out.pdbqt,1,,,
98,-11.104,98_shifted_prepared-2_out.pdbqt,2,,,
99,-8.897,99_shifted_prepared-1_out.pdbqt,1,,,
100,-10.277,100_shifted_prepared-2_out.pdbqt,2,,,
102,-7.915,102_shifted_prepared-1_out.pdbqt,1,,,
103,-4.025,103_shifted_prepared-1_out.pdbqt,1,,,
104,-9.823,104_shifted_prepared-1_out.pdbqt,1,,,
105,-11.719,105_shifted_prepared-1_out.pdbqt,1,,,
106,-8.930,106_shifted_prepared-1_out.pdbqt,1,,,
107,-11.213,107_shifted_prepared-1_out.pdbqt,1,,,
108,-10.693,108_shifted_prepared-1_out.pdbqt,1,,,
109,-8.782,109_shifted_prepared-1_out.pdbqt,1,,,
110,-10.427,110_shifted_prepared-1_out.pdbqt,1,,,
111,-10.452,111_shifted_prepared-1_out.pdbqt,1,,,
112,-10.572,112_shifted_prepared-1_out.pdbqt,1,,,
113,-9.878,113_shifted_prepared-2_out.pdbqt,2,,,
114,-11.280,114_shifted_prepared-1_out.pdbqt,1,,,
115,-11.828,115_shifted_prepared-2_out.pdbqt,2,,,
116,-10.947,116_shifted_prepared-1_out.pdbqt,1,,,
117,-9.065,117_shifted_prepared-1_out.pdbqt,1,,,
118,-7.691,118_shifted_prepared-1_out.pdbqt,1,,,
119,-11.247,119_shifted_prepared-1_out.pdbqt,1,,,
120,-10.776,120_shifted_prepared-1_out.pdbqt,2,,,
121,-8.393,121_shifted_prepared-1_out.pdbqt,1,,,
122,-12.199,122_shifted_prepared-1_out.pdbqt,1,,,
123,-11.446,123_shifted_prepared-1_out.pdbqt,1,,,
124,-11.921,124_shifted_prepared-1_out.pdbqt,2,,,
125,-11.314,125_shifted_prepared-2_out.pdbqt,2,,,
126,-10.888,126_shifted_prepared-1_out.pdbqt,1,,,
127,-8.842,127_shifted_prepared-1_out.pdbqt,1,,,
130,-9.006,130_shifted_prepared-1_out.pdbqt,2,,,
131,-10.122,131_shifted_prepared-1_out.pdbqt,1,,,
132,-11.581,132_shifted_prepared-1_out.pdbqt,1,,,
133,-9.962,133_shifted_prepared-1_out.pdbqt,1,,,
134,-8.782,134_shifted_prepared-1_out.pdbqt,1,,,
135,-11.900,135_shifted_prepared-1_out.pdbqt,1,,,
136,-10.452,136_shifted_prepared-1_out.pdbqt,3,,,
137,-11.333,137_shifted_prepared-1_out.pdbqt,1,,,
138,-10.779,138_shifted_prepared-1_out.pdbqt,1,,,
139,-11.170,139_shifted_prepared-1_out.pdbqt,1,,,
140,-11.786,140_shifted_prepared-1_out.pdbqt,1,,,
141,-10.007,141_shifted_prepared-2_out.pdbqt,4,,,
142,-12.363,142_shifted_prepared-1_out.pdbqt,1,,,
143,-11.026,143_shifted_prepared-1_out.pdbqt,1,,,
145,-9.353,145_shifted_prepared-2_out.pdbqt,2,,,
146,-10.464,146_shifted_prepared-1_out.pdbqt,1,,,
147,-11.028,147_shifted_prepared-1_out.pdbqt,1,,,
148,-8.977,148_shifted_prepared-1_out.pdbqt,1,,,
149,-10.687,149_shifted_prepared-1_out.pdbqt,1,,,
150,-8.186,150_shifted_prepared-1_out.pdbqt,1,,,
151,-10.778,151_shifted_prepared-1_out.pdbqt,1,,,
152,-10.103,152_shifted_prepared-1_out.pdbqt,1,,,
153,-10.723,153_shifted_prepared-1_out.pdbqt,1,,,
154,-11.453,154_shifted_prepared-2_out.pdbqt,2,,,
155,-8.396,155_shifted_prepared-2_out.pdbqt,2,,,
156,-10.666,156_shifted_prepared-1_out.pdbqt,1,,,
157,-9.326,157_shifted_prepared-1_out.pdbqt,1,,,
158,-10.302,158_shifted_prepared-1_out.pdbqt,1,,,
159,-9.104,159_shifted_prepared-1_out.pdbqt,1,,,
160,-11.521,160_shifted_prepared-1_out.pdbqt,1,,,
162,-9.496,162_shifted_prepared-1_out.pdbqt,1,,,
163,-11.205,163_shifted_prepared-1_out.pdbqt,1,,,
164,-11.127,164_shifted_prepared-1_out.pdbqt,1,,,
165,-9.123,165_shifted_prepared-1_out.pdbqt,1,,,
166,-11.509,166_shifted_prepared-1_out.pdbqt,1,,,
167,-11.275,167_shifted_prepared-1_out.pdbqt,1,,,
168,-12.578,168_shifted_prepared-1_out.pdbqt,1,,,
169,-10.104,169_shifted_prepared-2_out.pdbqt,2,,,
170,-10.907,170_shifted_prepared-1_out.pdbqt,1,,,
171,-11.627,171_shifted_prepared-1_out.pdbqt,1,,,
172,-10.852,172_shifted_prepared-1_out.pdbqt,1,,,
173,-11.334,173_shifted_prepared-1_out.pdbqt,1,,,
174,-7.556,174_shifted_prepared-1_out.pdbqt,1,,,
175,-8.955,175_shifted_prepared-1_out.pdbqt,1,,,
176,-11.109,176_shifted_prepared-1_out.pdbqt,1,,,
177,-11.654,177_shifted_prepared-1_out.pdbqt,1,,,
178,-11.858,178_shifted_prepared-1_out.pdbqt,1,,,
179,-11.587,179_shifted_prepared-1_out.pdbqt,1,,,
180,-9.726,180_shifted_prepared-1_out.pdbqt,1,,,
181,-9.625,181_shifted_prepared-1_out.pdbqt,1,,,
182,-10.989,182_shifted_prepared-1_out.pdbqt,1,,,
183,-11.194,183_shifted_prepared-1_out.pdbqt,1,,,
184,-11.865,184_shifted_prepared-1_out.pdbqt,1,,,
185,-11.942,185_shifted_prepared-1_out.pdbqt,4,,,
