Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
0,-5.040,0_prepared-1_out.pdbqt,1,-8.334,-11.276,-4.433
1,-5.350,1_prepared-1_out.pdbqt,1,,,
2,-5.145,2_prepared-1_out.pdbqt,1,,,
3,-4.433,3_prepared-1_out.pdbqt,1,,,
4,-5.500,4_prepared-1_out.pdbqt,1,,,
5,-5.473,5_prepared-1_out.pdbqt,1,,,
6,-5.649,6_prepared-1_out.pdbqt,1,,,
7,-6.370,7_prepared-2_out.pdbqt,2,,,
8,-5.922,8_prepared-1_out.pdbqt,1,,,
9,-6.400,9_prepared-2_out.pdbqt,2,,,
10,-5.274,10_prepared-1_out.pdbqt,1,,,
11,-6.361,11_prepared-1_out.pdbqt,1,,,
12,-5.585,12_prepared-1_out.pdbqt,1,,,
13,-6.726,13_prepared-2_out.pdbqt,2,,,
14,-7.415,14_prepared-1_out.pdbqt,1,,,
15,-7.290,15_prepared-2_out.pdbqt,6,,,
16,-7.380,16_prepared-1_out.pdbqt,1,,,
17,-7.413,17_prepared-1_out.pdbqt,1,,,
18,-6.953,18_prepared-1_out.pdbqt,1,,,
19,-7.358,19_prepared-1_out.pdbqt,1,,,
20,-6.724,20_prepared-1_out.pdbqt,1,,,
21,-7.536,21_prepared-2_out.pdbqt,6,,,
22,-7.028,22_prepared-1_out.pdbqt,1,,,
23,-6.749,23_prepared-1_out.pdbqt,1,,,
24,-7.456,24_prepared-1_out.pdbqt,1,,,
25,-7.720,25_prepared-1_out.pdbqt,1,,,
26,-6.745,26_prepared-1_out.pdbqt,1,,,
27,-7.673,27_prepared-4_out.pdbqt,4,,,
28,-6.939,28_prepared-1_out.pdbqt,1,,,
29,-6.386,29_prepared-1_out.pdbqt,1,,,
30,-6.750,30_prepared-1_out.pdbqt,1,,,
31,-7.731,31_prepared-2_out.pdbqt,2,,,
32,-6.942,32_prepared-1_out.pdbqt,1,,,
33,-7.181,33_prepared-1_out.pdbqt,1,,,
34,-7.892,34_prepared-1_out.pdbqt,1,,,
35,-7.879,35_prepared-2_out.pdbqt,2,,,
36,-8.184,36_prepared-1_out.pdbqt,1,,,
37,-6.143,37_prepared-1_out.pdbqt,1,,,
38,-7.514,38_prepared-2_out.pdbqt,2,,,
39,-8.657,39_prepared-1_out.pdbqt,1,,,
40,-7.642,40_prepared-1_out.pdbqt,1,,,
41,-5.114,41_prepared-1_out.pdbqt,1,,,
42,-7.861,42_prepared-1_out.pdbqt,1,,,
43,-7.606,43_prepared-1_out.pdbqt,2,,,
44,-7.907,44_prepared-1_out.pdbqt,1,,,
45,-8.065,45_prepared-1_out.pdbqt,1,,,
46,-7.302,46_prepared-1_out.pdbqt,1,,,
47,-8.587,47_prepared-1_out.pdbqt,1,,,
48,-7.535,48_prepared-1_out.pdbqt,1,,,
49,-7.857,49_prepared-1_out.pdbqt,1,,,
50,-7.844,50_prepared-1_out.pdbqt,1,,,
51,-8.052,51_prepared-1_out.pdbqt,1,,,
52,-8.544,52_prepared-1_out.pdbqt,1,,,
53,-9.456,53_prepared-1_out.pdbqt,1,,,
54,-8.900,54_prepared-1_out.pdbqt,2,,,
55,-7.714,55_prepared-1_out.pdbqt,1,,,
56,-7.454,56_prepared-2_out.pdbqt,2,,,
57,-7.475,57_prepared-1_out.pdbqt,1,,,
58,-7.646,58_prepared-1_out.pdbqt,1,,,
59,-7.997,59_prepared-1_out.pdbqt,1,,,
60,-8.017,60_prepared-1_out.pdbqt,1,,,
61,-7.751,61_prepared-3_out.pdbqt,3,,,
62,-7.762,62_prepared-1_out.pdbqt,1,,,
63,-7.106,63_prepared-1_out.pdbqt,1,,,
64,-8.024,64_prepared-1_out.pdbqt,1,,,
65,-9.525,65_prepared-1_out.pdbqt,1,,,
66,-8.365,66_prepared-1_out.pdbqt,1,,,
67,-8.191,67_prepared-1_out.pdbqt,2,,,
68,-9.317,68_prepared-1_out.pdbqt,2,,,
69,-7.934,69_prepared-1_out.pdbqt,1,,,
70,-7.468,70_prepared-1_out.pdbqt,1,,,
71,-9.204,71_prepared-1_out.pdbqt,1,,,
72,-9.286,72_prepared-1_out.pdbqt,1,,,
73,-8.092,73_prepared-1_out.pdbqt,1,,,
74,-8.764,74_prepared-1_out.pdbqt,2,,,
75,-7.983,75_prepared-1_out.pdbqt,1,,,
76,-8.732,76_prepared-1_out.pdbqt,2,,,
77,-8.924,77_prepared-1_out.pdbqt,1,,,
78,-7.832,78_prepared-1_out.pdbqt,1,,,
79,-7.996,79_prepared-1_out.pdbqt,1,,,
80,-7.479,80_prepared-1_out.pdbqt,1,,,
81,-9.199,81_prepared-1_out.pdbqt,1,,,
82,-9.024,82_prepared-1_out.pdbqt,2,,,
83,-8.016,83_prepared-1_out.pdbqt,1,,,
84,-8.083,84_prepared-1_out.pdbqt,1,,,
85,-8.896,85_prepared-1_out.pdbqt,2,,,
86,-8.801,86_prepared-1_out.pdbqt,1,,,
87,-8.660,87_prepared-1_out.pdbqt,1,,,
88,-7.570,88_prepared-1_out.pdbqt,2,,,
89,-8.225,89_prepared-1_out.pdbqt,1,,,
90,-8.079,90_prepared-1_out.pdbqt,2,,,
91,-7.701,91_prepared-1_out.pdbqt,1,,,
92,-9.447,92_prepared-1_out.pdbqt,1,,,
93,-8.643,93_prepared-1_out.pdbqt,2,,,
94,-9.797,94_prepared-1_out.pdbqt,1,,,
95,-8.707,95_prepared-1_out.pdbqt,1,,,
96,-8.538,96_prepared-1_out.pdbqt,2,,,
97,-6.221,97_prepared-1_out.pdbqt,1,,,
98,-9.151,98_prepared-1_out.pdbqt,2,,,
99,-9.414,99_prepared-1_out.pdbqt,1,,,
100,-7.870,100_prepared-1_out.pdbqt,1,,,
101,-6.292,101_prepared-1_out.pdbqt,1,,,
102,-8.963,102_prepared-1_out.pdbqt,1,,,
103,-8.503,103_prepared-3_out.pdbqt,3,,,
104,-9.328,104_prepared-1_out.pdbqt,1,,,
105,-7.843,105_prepared-2_out.pdbqt,3,,,
106,-8.844,106_prepared-1_out.pdbqt,2,,,
107,-9.402,107_prepared-1_out.pdbqt,2,,,
108,-8.018,108_prepared-2_out.pdbqt,5,,,
109,-6.903,109_prepared-1_out.pdbqt,2,,,
110,-6.622,110_prepared-1_out.pdbqt,1,,,
111,-8.621,111_prepared-1_out.pdbqt,1,,,
112,-7.648,112_prepared-1_out.pdbqt,1,,,
113,-8.725,113_prepared-1_out.pdbqt,1,,,
114,-7.669,114_prepared-2_out.pdbqt,2,,,
115,-6.628,115_prepared-1_out.pdbqt,1,,,
116,-9.088,116_prepared-1_out.pdbqt,1,,,
117,-9.153,117_prepared-1_out.pdbqt,2,,,
118,-8.426,118_prepared-1_out.pdbqt,1,,,
119,-9.053,119_prepared-1_out.pdbqt,3,,,
120,-7.938,120_prepared-1_out.pdbqt,1,,,
121,-6.725,121_prepared-1_out.pdbqt,2,,,
122,-9.166,122_prepared-1_out.pdbqt,1,,,
123,-9.959,123_prepared-1_out.pdbqt,1,,,
124,-9.382,124_prepared-1_out.pdbqt,1,,,
125,-9.859,125_prepared-1_out.pdbqt,1,,,
126,-10.060,126_prepared-1_out.pdbqt,1,,,
127,-9.404,127_prepared-1_out.pdbqt,1,,,
128,-8.486,128_prepared-1_out.pdbqt,1,,,
129,-9.794,129_prepared-1_out.pdbqt,1,,,
130,-8.715,130_prepared-1_out.pdbqt,1,,,
131,-7.891,131_prepared-1_out.pdbqt,1,,,
132,-9.750,132_prepared-1_out.pdbqt,2,,,
133,-9.614,133_prepared-1_out.pdbqt,2,,,
134,-9.090,134_prepared-1_out.pdbqt,1,,,
135,-9.368,135_prepared-1_out.pdbqt,1,,,
136,-9.174,136_prepared-1_out.pdbqt,1,,,
137,-9.638,137_prepared-2_out.pdbqt,2,,,
138,-9.573,138_prepared-1_out.pdbqt,1,,,
139,-6.167,139_prepared-1_out.pdbqt,1,,,
140,-8.117,140_prepared-1_out.pdbqt,1,,,
141,-8.879,141_prepared-1_out.pdbqt,1,,,
142,-9.403,142_prepared-1_out.pdbqt,1,,,
143,-8.171,143_prepared-1_out.pdbqt,1,,,
144,-7.946,144_prepared-1_out.pdbqt,8,,,
145,-8.271,145_prepared-1_out.pdbqt,1,,,
146,-8.811,146_prepared-1_out.pdbqt,1,,,
147,-6.847,147_prepared-1_out.pdbqt,1,,,
148,-8.121,148_prepared-2_out.pdbqt,3,,,
149,-8.326,149_prepared-1_out.pdbqt,1,,,
150,-8.834,150_prepared-1_out.pdbqt,1,,,
151,-6.964,151_prepared-1_out.pdbqt,1,,,
152,-6.940,152_prepared-1_out.pdbqt,1,,,
153,-9.862,153_prepared-1_out.pdbqt,1,,,
154,-9.169,154_prepared-1_out.pdbqt,1,,,
155,-7.964,155_prepared-1_out.pdbqt,1,,,
156,-9.747,156_prepared-1_out.pdbqt,2,,,
157,-8.818,157_prepared-2_out.pdbqt,3,,,
158,-8.070,158_prepared-2_out.pdbqt,3,,,
159,-7.513,159_prepared-1_out.pdbqt,1,,,
160,-9.098,160_prepared-1_out.pdbqt,1,,,
161,-9.988,161_prepared-1_out.pdbqt,1,,,
162,-9.312,162_prepared-1_out.pdbqt,1,,,
163,-8.878,163_prepared-1_out.pdbqt,1,,,
164,-6.527,164_prepared-1_out.pdbqt,1,,,
165,-6.971,165_prepared-1_out.pdbqt,1,,,
166,-10.697,166_prepared-1_out.pdbqt,1,,,
167,-8.597,167_prepared-1_out.pdbqt,1,,,
168,-7.270,168_prepared-1_out.pdbqt,1,,,
169,-9.221,169_prepared-1_out.pdbqt,1,,,
170,-6.370,170_prepared-1_out.pdbqt,1,,,
171,-9.095,171_prepared-1_out.pdbqt,1,,,
172,-6.541,172_prepared-1_out.pdbqt,1,,,
173,-7.782,173_prepared-1_out.pdbqt,3,,,
174,-8.879,174_prepared-1_out.pdbqt,1,,,
175,-8.404,175_prepared-1_out.pdbqt,1,,,
176,-8.323,176_prepared-2_out.pdbqt,3,,,
177,-7.125,177_prepared-1_out.pdbqt,1,,,
178,-7.181,178_prepared-1_out.pdbqt,1,,,
179,-10.505,179_prepared-1_out.pdbqt,2,,,
180,-7.628,180_prepared-1_out.pdbqt,1,,,
181,-9.776,181_prepared-2_out.pdbqt,3,,,
182,-9.453,182_prepared-1_out.pdbqt,1,,,
183,-8.995,183_prepared-1_out.pdbqt,1,,,
184,-8.685,184_prepared-1_out.pdbqt,1,,,
185,-8.871,185_prepared-1_out.pdbqt,1,,,
186,-8.310,186_prepared-1_out.pdbqt,1,,,
187,-7.156,187_prepared-1_out.pdbqt,1,,,
188,-6.066,188_prepared-1_out.pdbqt,1,,,
189,-8.386,189_prepared-1_out.pdbqt,2,,,
190,-9.668,190_prepared-1_out.pdbqt,1,,,
191,-8.520,191_prepared-1_out.pdbqt,1,,,
192,-9.030,192_prepared-1_out.pdbqt,1,,,
193,-7.021,193_prepared-1_out.pdbqt,1,,,
194,-7.775,194_prepared-2_out.pdbqt,2,,,
195,-10.581,195_prepared-1_out.pdbqt,1,,,
196,-7.429,196_prepared-1_out.pdbqt,1,,,
197,-9.079,197_prepared-1_out.pdbqt,1,,,
198,-8.349,198_prepared-2_out.pdbqt,8,,,
199,-9.427,199_prepared-1_out.pdbqt,1,,,
200,-9.379,200_prepared-1_out.pdbqt,1,,,
201,-8.556,201_prepared-1_out.pdbqt,2,,,
202,-8.889,202_prepared-1_out.pdbqt,1,,,
203,-8.286,203_prepared-1_out.pdbqt,1,,,
204,-10.154,204_prepared-2_out.pdbqt,2,,,
