Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
16,-10.588,ligand16_prepared-2_out.pdbqt,1,-10.879,-12.643,-10.583
23,-10.781,ligand23_prepared-1_out.pdbqt,1,,,
641,-10.828,ligand641_prepared-1_out.pdbqt,1,,,
1250,-11.443,ligand1250_prepared-2_out.pdbqt,1,,,
1314,-10.660,ligand1314_prepared-2_out.pdbqt,1,,,
1429,-11.256,ligand1429_prepared-4_out.pdbqt,1,,,
1615,-11.046,ligand1615_prepared-1_out.pdbqt,1,,,
2995,-10.906,ligand2995_prepared-1_out.pdbqt,1,,,
4265,-10.648,ligand4265_prepared-1_out.pdbqt,1,,,
4367,-10.687,ligand4367_prepared-1_out.pdbqt,1,,,
5069,-10.752,ligand5069_prepared-1_out.pdbqt,1,,,
5135,-10.643,ligand5135_prepared-1_out.pdbqt,1,,,
5307,-10.631,ligand5307_prepared-1_out.pdbqt,1,,,
6058,-10.832,ligand6058_prepared-1_out.pdbqt,1,,,
6332,-10.691,ligand6332_prepared-4_out.pdbqt,1,,,
6461,-10.744,ligand6461_prepared-1_out.pdbqt,1,,,
6477,-11.251,ligand6477_prepared-1_out.pdbqt,1,,,
7407,-11.006,ligand7407_prepared-3_out.pdbqt,1,,,
7421,-10.811,ligand7421_prepared-10_out.pdbqt,1,,,
7649,-10.645,ligand7649_prepared-1_out.pdbqt,1,,,
7655,-11.124,ligand7655_prepared-1_out.pdbqt,1,,,
8080,-11.059,ligand8080_prepared-1_out.pdbqt,1,,,
8334,-11.644,ligand8334_prepared-4_out.pdbqt,1,,,
8941,-10.780,ligand8941_prepared-1_out.pdbqt,1,,,
9093,-10.780,ligand9093_prepared-4_out.pdbqt,1,,,
9253,-11.148,ligand9253_prepared-2_out.pdbqt,1,,,
9285,-10.672,ligand9285_prepared-3_out.pdbqt,1,,,
9546,-10.977,ligand9546_prepared-3_out.pdbqt,1,,,
9777,-10.628,ligand9777_prepared-3_out.pdbqt,1,,,
10244,-10.689,ligand10244_prepared-1_out.pdbqt,1,,,
10457,-11.090,ligand10457_prepared-6_out.pdbqt,1,,,
10787,-10.783,ligand10787_prepared-1_out.pdbqt,1,,,
11013,-10.689,ligand11013_prepared-2_out.pdbqt,1,,,
11603,-10.734,ligand11603_prepared-1_out.pdbqt,1,,,
13367,-10.758,ligand13367_prepared-2_out.pdbqt,1,,,
13551,-10.630,ligand13551_prepared-2_out.pdbqt,1,,,
14103,-11.231,ligand14103_prepared-1_out.pdbqt,1,,,
14541,-10.613,ligand14541_prepared-1_out.pdbqt,1,,,
14645,-11.223,ligand14645_prepared-1_out.pdbqt,1,,,
15039,-10.898,ligand15039_prepared-1_out.pdbqt,1,,,
15974,-10.649,ligand15974_prepared-1_out.pdbqt,1,,,
16055,-10.892,ligand16055_prepared-1_out.pdbqt,1,,,
16084,-10.853,ligand16084_prepared-2_out.pdbqt,1,,,
16110,-10.896,ligand16110_prepared-1_out.pdbqt,1,,,
16145,-10.602,ligand16145_prepared-1_out.pdbqt,1,,,
16282,-10.586,ligand16282_prepared-1_out.pdbqt,1,,,
16545,-11.567,ligand16545_prepared-2_out.pdbqt,1,,,
16814,-10.613,ligand16814_prepared-1_out.pdbqt,1,,,
17251,-11.095,ligand17251_prepared-1_out.pdbqt,1,,,
17273,-10.675,ligand17273_prepared-1_out.pdbqt,1,,,
17511,-10.817,ligand17511_prepared-3_out.pdbqt,1,,,
17783,-10.744,ligand17783_prepared-2_out.pdbqt,1,,,
19139,-11.164,ligand19139_prepared-2_out.pdbqt,1,,,
19425,-10.592,ligand19425_prepared-1_out.pdbqt,1,,,
19925,-11.223,ligand19925_prepared-1_out.pdbqt,1,,,
20302,-10.682,ligand20302_prepared-2_out.pdbqt,1,,,
20887,-10.861,ligand20887_prepared-1_out.pdbqt,1,,,
20974,-10.858,ligand20974_prepared-1_out.pdbqt,1,,,
20992,-11.006,ligand20992_prepared-4_out.pdbqt,1,,,
21730,-11.230,ligand21730_prepared-1_out.pdbqt,1,,,
21819,-10.718,ligand21819_prepared-1_out.pdbqt,1,,,
22271,-11.026,ligand22271_prepared-1_out.pdbqt,1,,,
22303,-11.016,ligand22303_prepared-1_out.pdbqt,1,,,
22547,-10.775,ligand22547_prepared-1_out.pdbqt,1,,,
23526,-10.891,ligand23526_prepared-1_out.pdbqt,1,,,
23749,-10.600,ligand23749_prepared-1_out.pdbqt,1,,,
26117,-10.810,ligand26117_prepared-1_out.pdbqt,1,,,
26129,-11.522,ligand26129_prepared-2_out.pdbqt,1,,,
26349,-10.763,ligand26349_prepared-1_out.pdbqt,1,,,
26474,-10.648,ligand26474_prepared-1_out.pdbqt,1,,,
26701,-11.274,ligand26701_prepared-1_out.pdbqt,1,,,
26745,-10.685,ligand26745_prepared-2_out.pdbqt,1,,,
26923,-11.133,ligand26923_prepared-1_out.pdbqt,1,,,
26959,-10.702,ligand26959_prepared-1_out.pdbqt,1,,,
27580,-10.858,ligand27580_prepared-1_out.pdbqt,1,,,
28138,-11.484,ligand28138_prepared-9_out.pdbqt,1,,,
28204,-10.806,ligand28204_prepared-1_out.pdbqt,1,,,
28259,-10.748,ligand28259_prepared-1_out.pdbqt,1,,,
29105,-10.592,ligand29105_prepared-1_out.pdbqt,1,,,
29529,-10.773,ligand29529_prepared-1_out.pdbqt,1,,,
29614,-10.816,ligand29614_prepared-1_out.pdbqt,1,,,
30139,-10.607,ligand30139_prepared-2_out.pdbqt,1,,,
30192,-10.762,ligand30192_prepared-1_out.pdbqt,1,,,
30522,-10.721,ligand30522_prepared-4_out.pdbqt,1,,,
30791,-11.228,ligand30791_prepared-1_out.pdbqt,1,,,
31054,-10.784,ligand31054_prepared-2_out.pdbqt,1,,,
31660,-10.725,ligand31660_prepared-1_out.pdbqt,1,,,
31828,-11.163,ligand31828_prepared-1_out.pdbqt,1,,,
32562,-10.609,ligand32562_prepared-1_out.pdbqt,1,,,
33569,-10.604,ligand33569_prepared-1_out.pdbqt,1,,,
33761,-10.680,ligand33761_prepared-1_out.pdbqt,1,,,
33825,-10.652,ligand33825_prepared-1_out.pdbqt,1,,,
33867,-11.083,ligand33867_prepared-1_out.pdbqt,1,,,
34617,-10.876,ligand34617_prepared-1_out.pdbqt,1,,,
34824,-10.661,ligand34824_prepared-5_out.pdbqt,1,,,
34941,-10.673,ligand34941_prepared-1_out.pdbqt,1,,,
35036,-11.345,ligand35036_prepared-1_out.pdbqt,1,,,
35307,-10.606,ligand35307_prepared-1_out.pdbqt,1,,,
35554,-10.726,ligand35554_prepared-7_out.pdbqt,1,,,
36041,-10.689,ligand36041_prepared-3_out.pdbqt,1,,,
36086,-10.988,ligand36086_prepared-2_out.pdbqt,1,,,
36208,-10.628,ligand36208_prepared-1_out.pdbqt,1,,,
36561,-10.988,ligand36561_prepared-1_out.pdbqt,1,,,
36649,-10.651,ligand36649_prepared-2_out.pdbqt,1,,,
36738,-11.073,ligand36738_prepared-7_out.pdbqt,1,,,
37217,-10.618,ligand37217_prepared-1_out.pdbqt,1,,,
37305,-10.654,ligand37305_prepared-2_out.pdbqt,1,,,
37818,-10.980,ligand37818_prepared-1_out.pdbqt,1,,,
38174,-11.106,ligand38174_prepared-5_out.pdbqt,1,,,
38905,-10.867,ligand38905_prepared-1_out.pdbqt,1,,,
39016,-11.097,ligand39016_prepared-1_out.pdbqt,1,,,
39801,-11.280,ligand39801_prepared-1_out.pdbqt,1,,,
39827,-10.812,ligand39827_prepared-4_out.pdbqt,1,,,
40107,-10.693,ligand40107_prepared-1_out.pdbqt,1,,,
40152,-10.692,ligand40152_prepared-2_out.pdbqt,1,,,
40572,-10.803,ligand40572_prepared-2_out.pdbqt,1,,,
40616,-10.630,ligand40616_prepared-1_out.pdbqt,1,,,
40663,-11.329,ligand40663_prepared-2_out.pdbqt,1,,,
40675,-10.835,ligand40675_prepared-1_out.pdbqt,1,,,
40805,-10.585,ligand40805_prepared-4_out.pdbqt,1,,,
