Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
0,-8.219,0_shifted_prepared-1_out.pdbqt,1,-8.517,-12.031,-3.791
1,-9.196,1_shifted_prepared-1_out.pdbqt,1,,,
2,-7.550,2_shifted_prepared-1_out.pdbqt,1,,,
3,-6.178,3_shifted_prepared-1_out.pdbqt,1,,,
4,-6.756,4_shifted_prepared-1_out.pdbqt,1,,,
5,-7.934,5_shifted_prepared-1_out.pdbqt,1,,,
6,-8.917,6_shifted_prepared-1_out.pdbqt,1,,,
7,-8.641,7_shifted_prepared-1_out.pdbqt,1,,,
8,-8.751,8_shifted_prepared-1_out.pdbqt,1,,,
9,-6.815,9_shifted_prepared-1_out.pdbqt,1,,,
10,-7.948,10_shifted_prepared-1_out.pdbqt,1,,,
11,-8.069,11_shifted_prepared-1_out.pdbqt,1,,,
12,-8.348,12_shifted_prepared-1_out.pdbqt,1,,,
13,-10.562,13_shifted_prepared-1_out.pdbqt,3,,,
14,-8.187,14_shifted_prepared-1_out.pdbqt,1,,,
15,-8.941,15_shifted_prepared-1_out.pdbqt,1,,,
16,-6.726,16_shifted_prepared-1_out.pdbqt,1,,,
17,-9.595,17_shifted_prepared-1_out.pdbqt,1,,,
18,-9.468,18_shifted_prepared-3_out.pdbqt,3,,,
19,-8.195,19_shifted_prepared-1_out.pdbqt,1,,,
20,-8.684,20_shifted_prepared-1_out.pdbqt,1,,,
21,-6.492,21_shifted_prepared-1_out.pdbqt,1,,,
22,-7.603,22_shifted_prepared-1_out.pdbqt,1,,,
23,-8.045,23_shifted_prepared-1_out.pdbqt,1,,,
24,-9.791,24_shifted_prepared-3_out.pdbqt,3,,,
25,-8.984,25_shifted_prepared-1_out.pdbqt,1,,,
26,-7.283,26_shifted_prepared-1_out.pdbqt,1,,,
27,-8.505,27_shifted_prepared-1_out.pdbqt,1,,,
28,-8.418,28_shifted_prepared-1_out.pdbqt,1,,,
29,-10.632,29_shifted_prepared-1_out.pdbqt,3,,,
30,-9.173,30_shifted_prepared-2_out.pdbqt,2,,,
31,-8.562,31_shifted_prepared-1_out.pdbqt,1,,,
32,-10.599,32_shifted_prepared-1_out.pdbqt,1,,,
33,-10.482,33_shifted_prepared-1_out.pdbqt,3,,,
34,-10.388,34_shifted_prepared-1_out.pdbqt,1,,,
35,-7.659,35_shifted_prepared-1_out.pdbqt,1,,,
36,-6.937,36_shifted_prepared-1_out.pdbqt,1,,,
37,-8.352,37_shifted_prepared-1_out.pdbqt,1,,,
38,-7.524,38_shifted_prepared-1_out.pdbqt,1,,,
39,-8.247,39_shifted_prepared-1_out.pdbqt,1,,,
40,-8.576,40_shifted_prepared-1_out.pdbqt,1,,,
41,-7.086,41_shifted_prepared-1_out.pdbqt,1,,,
42,-9.342,42_shifted_prepared-1_out.pdbqt,3,,,
43,-7.542,43_shifted_prepared-1_out.pdbqt,1,,,
44,-9.261,44_shifted_prepared-1_out.pdbqt,1,,,
45,-8.128,45_shifted_prepared-1_out.pdbqt,1,,,
46,-9.002,46_shifted_prepared-1_out.pdbqt,1,,,
47,-10.379,47_shifted_prepared-1_out.pdbqt,3,,,
48,-10.472,48_shifted_prepared-1_out.pdbqt,3,,,
49,-5.052,49_shifted_prepared-1_out.pdbqt,1,,,
50,-3.791,50_shifted_prepared-1_out.pdbqt,1,,,
51,-8.819,51_shifted_prepared-1_out.pdbqt,1,,,
52,-10.507,52_shifted_prepared-1_out.pdbqt,3,,,
53,-6.397,53_shifted_prepared-1_out.pdbqt,1,,,
54,-8.137,54_shifted_prepared-1_out.pdbqt,1,,,
55,-11.530,55_shifted_prepared-1_out.pdbqt,3,,,
56,-6.770,56_shifted_prepared-1_out.pdbqt,1,,,
57,-10.590,57_shifted_prepared-1_out.pdbqt,3,,,
