Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
0,-6.255,0_shifted_prepared-1_out.pdbqt,1,-7.596,-13.066,0.504
1,-4.945,1_shifted_prepared-1_out.pdbqt,1,,,
2,0.131,2_shifted_prepared-1_out.pdbqt,1,,,
3,-3.727,3_shifted_prepared-3_out.pdbqt,3,,,
4,-9.319,4_shifted_prepared-1_out.pdbqt,1,,,
5,-5.065,5_shifted_prepared-1_out.pdbqt,1,,,
6,-1.938,6_shifted_prepared-1_out.pdbqt,1,,,
7,-3.296,7_shifted_prepared-2_out.pdbqt,3,,,
8,-9.061,8_shifted_prepared-1_out.pdbqt,1,,,
9,-7.406,9_shifted_prepared-1_out.pdbqt,1,,,
10,-4.866,10_shifted_prepared-1_out.pdbqt,1,,,
11,-7.954,11_shifted_prepared-5_out.pdbqt,6,,,
12,-8.065,12_shifted_prepared-1_out.pdbqt,1,,,
13,-6.549,13_shifted_prepared-1_out.pdbqt,1,,,
14,-9.184,14_shifted_prepared-1_out.pdbqt,2,,,
15,-9.756,15_shifted_prepared-1_out.pdbqt,1,,,
16,-9.606,16_shifted_prepared-1_out.pdbqt,4,,,
17,-9.088,17_shifted_prepared-1_out.pdbqt,1,,,
18,-7.122,18_shifted_prepared-1_out.pdbqt,1,,,
19,-9.413,19_shifted_prepared-1_out.pdbqt,1,,,
20,-9.685,20_shifted_prepared-1_out.pdbqt,1,,,
21,-9.006,21_shifted_prepared-1_out.pdbqt,1,,,
22,-8.346,22_shifted_prepared-1_out.pdbqt,1,,,
23,-6.817,23_shifted_prepared-1_out.pdbqt,1,,,
24,-9.648,24_shifted_prepared-1_out.pdbqt,1,,,
25,-5.706,25_shifted_prepared-1_out.pdbqt,1,,,
27,-9.844,27_shifted_prepared-3_out.pdbqt,3,,,
28,-4.751,28_shifted_prepared-1_out.pdbqt,1,,,
29,-8.735,29_shifted_prepared-1_out.pdbqt,3,,,
30,-8.034,30_shifted_prepared-1_out.pdbqt,4,,,
31,-4.900,31_shifted_prepared-2_out.pdbqt,2,,,
32,-7.810,32_shifted_prepared-1_out.pdbqt,1,,,
33,-9.029,33_shifted_prepared-1_out.pdbqt,1,,,
34,-9.245,34_shifted_prepared-1_out.pdbqt,1,,,
35,-7.402,35_shifted_prepared-3_out.pdbqt,3,,,
36,-8.694,36_shifted_prepared-2_out.pdbqt,3,,,
37,-9.053,37_shifted_prepared-2_out.pdbqt,3,,,
38,-8.350,38_shifted_prepared-1_out.pdbqt,1,,,
39,-8.094,39_shifted_prepared-4_out.pdbqt,4,,,
40,-8.526,40_shifted_prepared-4_out.pdbqt,5,,,
41,-9.397,41_shifted_prepared-1_out.pdbqt,1,,,
42,-9.401,42_shifted_prepared-1_out.pdbqt,2,,,
43,-8.453,43_shifted_prepared-1_out.pdbqt,1,,,
44,-8.379,44_shifted_prepared-1_out.pdbqt,1,,,
45,-5.370,45_shifted_prepared-1_out.pdbqt,1,,,
46,-8.455,46_shifted_prepared-3_out.pdbqt,4,,,
47,-6.813,47_shifted_prepared-1_out.pdbqt,1,,,
48,-8.331,48_shifted_prepared-1_out.pdbqt,1,,,
49,-7.756,49_shifted_prepared-3_out.pdbqt,3,,,
50,-8.461,50_shifted_prepared-1_out.pdbqt,1,,,
51,-8.735,51_shifted_prepared-1_out.pdbqt,1,,,
52,-6.268,52_shifted_prepared-1_out.pdbqt,1,,,
53,-6.504,53_shifted_prepared-1_out.pdbqt,1,,,
54,-8.052,54_shifted_prepared-1_out.pdbqt,1,,,
