Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
0,-5.155,0_prepared-1_out.pdbqt,1,-8.446,-13.218,-2.933
1,-6.047,1_prepared-1_out.pdbqt,1,,,
2,-5.481,2_prepared-1_out.pdbqt,1,,,
3,-5.365,3_prepared-1_out.pdbqt,1,,,
4,-6.272,4_prepared-1_out.pdbqt,1,,,
5,-6.419,5_prepared-1_out.pdbqt,1,,,
6,-6.598,6_prepared-1_out.pdbqt,1,,,
7,-6.481,7_prepared-1_out.pdbqt,1,,,
8,-5.538,8_prepared-1_out.pdbqt,1,,,
9,-6.559,9_prepared-1_out.pdbqt,1,,,
10,-6.240,10_prepared-1_out.pdbqt,1,,,
11,-7.056,11_prepared-2_out.pdbqt,2,,,
12,-6.316,12_prepared-1_out.pdbqt,3,,,
13,-6.585,13_prepared-2_out.pdbqt,2,,,
14,-6.932,14_prepared-2_out.pdbqt,2,,,
15,-7.040,15_prepared-2_out.pdbqt,2,,,
16,-5.068,16_prepared-3_out.pdbqt,3,,,
17,-7.887,17_prepared-1_out.pdbqt,1,,,
18,-8.211,18_prepared-1_out.pdbqt,1,,,
19,-8.070,19_prepared-1_out.pdbqt,1,,,
20,-6.926,20_prepared-1_out.pdbqt,1,,,
21,-7.253,21_prepared-1_out.pdbqt,1,,,
22,-7.792,22_prepared-1_out.pdbqt,2,,,
23,-7.937,23_prepared-1_out.pdbqt,1,,,
24,-7.537,24_prepared-1_out.pdbqt,1,,,
25,-7.731,25_prepared-1_out.pdbqt,1,,,
26,-6.248,26_prepared-1_out.pdbqt,1,,,
27,-8.354,27_prepared-1_out.pdbqt,1,,,
28,-8.100,28_prepared-1_out.pdbqt,1,,,
29,-6.057,29_prepared-1_out.pdbqt,3,,,
30,-8.518,30_prepared-1_out.pdbqt,1,,,
31,-7.526,31_prepared-1_out.pdbqt,1,,,
32,-9.185,32_prepared-1_out.pdbqt,1,,,
33,-8.561,33_prepared-1_out.pdbqt,2,,,
34,-8.675,34_prepared-1_out.pdbqt,1,,,
35,-7.524,35_prepared-1_out.pdbqt,1,,,
36,-8.661,36_prepared-1_out.pdbqt,1,,,
37,-7.894,37_prepared-1_out.pdbqt,1,,,
38,-7.645,38_prepared-1_out.pdbqt,1,,,
39,-6.615,39_prepared-1_out.pdbqt,1,,,
40,-7.066,40_prepared-1_out.pdbqt,1,,,
41,-8.037,41_prepared-1_out.pdbqt,1,,,
42,-8.643,42_prepared-1_out.pdbqt,1,,,
43,-8.580,43_prepared-1_out.pdbqt,1,,,
44,-8.344,44_prepared-1_out.pdbqt,1,,,
45,-9.210,45_prepared-1_out.pdbqt,1,,,
46,-8.028,46_prepared-1_out.pdbqt,1,,,
47,-6.004,47_prepared-1_out.pdbqt,1,,,
48,-8.223,48_prepared-1_out.pdbqt,1,,,
49,-8.448,49_prepared-1_out.pdbqt,1,,,
50,-8.712,50_prepared-3_out.pdbqt,5,,,
51,-8.240,51_prepared-1_out.pdbqt,1,,,
52,-8.117,52_prepared-1_out.pdbqt,1,,,
53,-8.388,53_prepared-1_out.pdbqt,1,,,
54,-8.937,54_prepared-1_out.pdbqt,1,,,
55,-4.870,55_prepared-1_out.pdbqt,1,,,
56,-8.973,56_prepared-1_out.pdbqt,1,,,
57,-6.594,57_prepared-1_out.pdbqt,1,,,
58,-8.257,58_prepared-1_out.pdbqt,3,,,
59,-9.004,59_prepared-2_out.pdbqt,2,,,
60,-8.470,60_prepared-1_out.pdbqt,1,,,
61,-8.008,61_prepared-1_out.pdbqt,1,,,
62,-7.925,62_prepared-1_out.pdbqt,1,,,
63,-8.913,63_prepared-1_out.pdbqt,1,,,
64,-7.800,64_prepared-1_out.pdbqt,1,,,
65,-7.545,65_prepared-1_out.pdbqt,1,,,
66,-7.674,66_prepared-1_out.pdbqt,1,,,
67,-8.694,67_prepared-1_out.pdbqt,1,,,
68,-7.446,68_prepared-1_out.pdbqt,1,,,
69,-9.174,69_prepared-1_out.pdbqt,1,,,
70,-8.366,70_prepared-1_out.pdbqt,1,,,
71,-8.339,71_prepared-1_out.pdbqt,1,,,
72,-6.776,72_prepared-1_out.pdbqt,1,,,
73,-6.678,73_prepared-1_out.pdbqt,1,,,
74,-7.811,74_prepared-1_out.pdbqt,1,,,
75,-8.083,75_prepared-1_out.pdbqt,1,,,
76,-7.883,76_prepared-1_out.pdbqt,1,,,
77,-9.834,77_prepared-2_out.pdbqt,2,,,
78,-8.668,78_prepared-1_out.pdbqt,1,,,
79,-8.297,79_prepared-1_out.pdbqt,1,,,
80,-6.809,80_prepared-1_out.pdbqt,1,,,
81,-8.522,81_prepared-1_out.pdbqt,1,,,
82,-9.355,82_prepared-2_out.pdbqt,2,,,
83,-8.302,83_prepared-1_out.pdbqt,1,,,
84,-9.193,84_prepared-1_out.pdbqt,1,,,
85,-9.974,85_prepared-1_out.pdbqt,1,,,
86,-8.156,86_prepared-1_out.pdbqt,1,,,
87,-8.757,87_prepared-1_out.pdbqt,1,,,
88,-9.800,88_prepared-1_out.pdbqt,2,,,
89,-8.102,89_prepared-1_out.pdbqt,1,,,
90,-8.124,90_prepared-1_out.pdbqt,1,,,
91,-8.314,91_prepared-1_out.pdbqt,1,,,
92,-7.998,92_prepared-1_out.pdbqt,1,,,
93,-8.502,93_prepared-1_out.pdbqt,1,,,
94,-7.240,94_prepared-1_out.pdbqt,1,,,
95,-7.339,95_prepared-1_out.pdbqt,1,,,
96,-8.551,96_prepared-1_out.pdbqt,1,,,
97,-9.592,97_prepared-1_out.pdbqt,1,,,
98,-8.601,98_prepared-1_out.pdbqt,1,,,
99,-10.590,99_prepared-1_out.pdbqt,1,,,
100,-7.930,100_prepared-1_out.pdbqt,1,,,
101,-8.222,101_prepared-1_out.pdbqt,1,,,
102,-6.962,102_prepared-1_out.pdbqt,1,,,
103,-7.305,103_prepared-1_out.pdbqt,1,,,
104,-9.392,104_prepared-1_out.pdbqt,1,,,
105,-8.598,105_prepared-1_out.pdbqt,1,,,
106,-8.293,106_prepared-1_out.pdbqt,1,,,
107,-7.546,107_prepared-1_out.pdbqt,1,,,
108,-8.736,108_prepared-1_out.pdbqt,1,,,
109,-8.374,109_prepared-1_out.pdbqt,1,,,
110,-7.799,110_prepared-1_out.pdbqt,4,,,
111,-8.383,111_prepared-1_out.pdbqt,1,,,
112,-8.724,112_prepared-1_out.pdbqt,1,,,
113,-8.971,113_prepared-1_out.pdbqt,1,,,
114,-7.237,114_prepared-1_out.pdbqt,2,,,
115,-8.892,115_prepared-1_out.pdbqt,1,,,
116,-9.210,116_prepared-1_out.pdbqt,1,,,
117,-8.372,117_prepared-1_out.pdbqt,1,,,
118,-8.614,118_prepared-5_out.pdbqt,6,,,
119,-7.622,119_prepared-2_out.pdbqt,4,,,
120,-7.307,120_prepared-1_out.pdbqt,1,,,
121,-7.623,121_prepared-1_out.pdbqt,1,,,
122,-8.889,122_prepared-1_out.pdbqt,1,,,
123,-7.538,123_prepared-1_out.pdbqt,1,,,
124,-8.239,124_prepared-1_out.pdbqt,1,,,
