Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
0,-8.979,0_prepared-1_out.pdbqt,1,-8.532,-12.012,-2.087
1,-9.683,1_prepared-1_out.pdbqt,1,,,
2,-9.684,2_prepared-1_out.pdbqt,1,,,
3,-9.097,3_prepared-1_out.pdbqt,1,,,
4,-9.177,4_prepared-1_out.pdbqt,1,,,
5,-9.074,5_prepared-1_out.pdbqt,1,,,
6,-9.596,6_prepared-1_out.pdbqt,1,,,
7,-9.377,7_prepared-1_out.pdbqt,1,,,
8,-9.179,8_prepared-1_out.pdbqt,1,,,
9,-9.091,9_prepared-1_out.pdbqt,1,,,
10,-9.212,10_prepared-1_out.pdbqt,1,,,
11,-9.622,11_prepared-1_out.pdbqt,1,,,
12,-9.136,12_prepared-1_out.pdbqt,1,,,
13,-9.815,13_prepared-1_out.pdbqt,1,,,
14,-9.295,14_prepared-1_out.pdbqt,1,,,
15,-9.379,15_prepared-1_out.pdbqt,1,,,
17,-9.781,17_prepared-1_out.pdbqt,2,,,
18,-8.962,18_prepared-1_out.pdbqt,1,,,
19,-10.308,19_prepared-1_out.pdbqt,1,,,
20,-9.033,20_prepared-1_out.pdbqt,1,,,
21,-9.900,21_prepared-1_out.pdbqt,1,,,
22,-9.923,22_prepared-1_out.pdbqt,1,,,
23,-9.659,23_prepared-1_out.pdbqt,1,,,
24,-9.761,24_prepared-1_out.pdbqt,1,,,
25,-9.737,25_prepared-1_out.pdbqt,1,,,
26,-10.415,26_prepared-1_out.pdbqt,2,,,
27,-9.654,27_prepared-1_out.pdbqt,1,,,
28,-9.526,28_prepared-1_out.pdbqt,1,,,
29,-9.641,29_prepared-1_out.pdbqt,1,,,
30,-9.533,30_prepared-1_out.pdbqt,1,,,
31,-8.989,31_prepared-1_out.pdbqt,1,,,
32,-9.582,32_prepared-1_out.pdbqt,1,,,
33,-9.852,33_prepared-1_out.pdbqt,1,,,
34,-8.976,34_prepared-1_out.pdbqt,1,,,
35,-9.361,35_prepared-1_out.pdbqt,1,,,
36,-9.718,36_prepared-1_out.pdbqt,1,,,
37,-9.279,37_prepared-1_out.pdbqt,1,,,
38,-9.795,38_prepared-1_out.pdbqt,1,,,
39,-9.714,39_prepared-1_out.pdbqt,1,,,
40,-9.934,40_prepared-1_out.pdbqt,1,,,
42,-10.336,42_prepared-3_out.pdbqt,3,,,
43,-10.339,43_prepared-1_out.pdbqt,1,,,
44,-10.384,44_prepared-1_out.pdbqt,2,,,
45,-10.316,45_prepared-1_out.pdbqt,1,,,
46,-10.586,46_prepared-1_out.pdbqt,1,,,
47,-10.222,47_prepared-1_out.pdbqt,2,,,
48,-9.792,48_prepared-1_out.pdbqt,1,,,
49,-10.423,49_prepared-1_out.pdbqt,1,,,
50,-9.543,50_prepared-1_out.pdbqt,1,,,
51,-9.940,51_prepared-1_out.pdbqt,1,,,
52,-9.852,52_prepared-1_out.pdbqt,1,,,
53,-10.123,53_prepared-1_out.pdbqt,1,,,
54,-9.217,54_prepared-1_out.pdbqt,1,,,
55,-9.652,55_prepared-1_out.pdbqt,1,,,
56,-9.972,56_prepared-1_out.pdbqt,1,,,
57,-10.399,57_prepared-2_out.pdbqt,2,,,
58,-10.342,58_prepared-1_out.pdbqt,1,,,
59,-10.840,59_prepared-1_out.pdbqt,1,,,
60,-9.552,60_prepared-1_out.pdbqt,1,,,
61,-10.528,61_prepared-2_out.pdbqt,2,,,
62,-8.747,62_prepared-1_out.pdbqt,1,,,
63,-7.491,63_prepared-1_out.pdbqt,1,,,
