Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
195,-12.670,ligand195_prepared-1_out.pdbqt,1,-12.160,-15.336,-11.687
633,-11.724,ligand633_prepared-1_out.pdbqt,1,,,
793,-11.909,ligand793_prepared-1_out.pdbqt,1,,,
1429,-13.727,ligand1429_prepared-2_out.pdbqt,1,,,
2484,-11.717,ligand2484_prepared-1_out.pdbqt,1,,,
2673,-12.468,ligand2673_prepared-1_out.pdbqt,1,,,
3105,-11.966,ligand3105_prepared-1_out.pdbqt,1,,,
3386,-12.780,ligand3386_prepared-2_out.pdbqt,1,,,
3572,-12.254,ligand3572_prepared-1_out.pdbqt,1,,,
3695,-11.901,ligand3695_prepared-1_out.pdbqt,1,,,
4088,-11.861,ligand4088_prepared-1_out.pdbqt,1,,,
4231,-11.778,ligand4231_prepared-1_out.pdbqt,1,,,
5066,-12.017,ligand5066_prepared-2_out.pdbqt,1,,,
6910,-11.688,ligand6910_prepared-1_out.pdbqt,1,,,
7348,-12.187,ligand7348_prepared-1_out.pdbqt,1,,,
7739,-13.185,ligand7739_prepared-1_out.pdbqt,1,,,
7804,-12.708,ligand7804_prepared-3_out.pdbqt,1,,,
8080,-11.705,ligand8080_prepared-2_out.pdbqt,1,,,
8297,-12.932,ligand8297_prepared-1_out.pdbqt,1,,,
8416,-12.453,ligand8416_prepared-1_out.pdbqt,1,,,
8488,-11.710,ligand8488_prepared-1_out.pdbqt,1,,,
8998,-11.853,ligand8998_prepared-1_out.pdbqt,1,,,
9093,-11.822,ligand9093_prepared-1_out.pdbqt,1,,,
9649,-11.732,ligand9649_prepared-1_out.pdbqt,1,,,
10173,-12.301,ligand10173_prepared-1_out.pdbqt,1,,,
10324,-11.871,ligand10324_prepared-1_out.pdbqt,1,,,
10765,-11.910,ligand10765_prepared-1_out.pdbqt,1,,,
10876,-11.914,ligand10876_prepared-1_out.pdbqt,1,,,
11108,-12.776,ligand11108_prepared-1_out.pdbqt,1,,,
11136,-12.665,ligand11136_prepared-3_out.pdbqt,1,,,
11506,-11.754,ligand11506_prepared-1_out.pdbqt,1,,,
11701,-12.088,ligand11701_prepared-1_out.pdbqt,1,,,
11901,-12.327,ligand11901_prepared-1_out.pdbqt,1,,,
11962,-11.984,ligand11962_prepared-1_out.pdbqt,1,,,
12710,-11.769,ligand12710_prepared-1_out.pdbqt,1,,,
12925,-11.940,ligand12925_prepared-2_out.pdbqt,1,,,
13166,-11.887,ligand13166_prepared-1_out.pdbqt,1,,,
13254,-11.878,ligand13254_prepared-2_out.pdbqt,1,,,
13326,-12.348,ligand13326_prepared-1_out.pdbqt,1,,,
13555,-11.771,ligand13555_prepared-1_out.pdbqt,1,,,
14056,-12.865,ligand14056_prepared-1_out.pdbqt,1,,,
14588,-11.690,ligand14588_prepared-1_out.pdbqt,1,,,
14728,-11.950,ligand14728_prepared-1_out.pdbqt,1,,,
14876,-12.409,ligand14876_prepared-2_out.pdbqt,1,,,
15004,-12.817,ligand15004_prepared-1_out.pdbqt,1,,,
15048,-11.982,ligand15048_prepared-1_out.pdbqt,1,,,
15318,-12.261,ligand15318_prepared-1_out.pdbqt,1,,,
15417,-12.901,ligand15417_prepared-1_out.pdbqt,1,,,
16545,-12.167,ligand16545_prepared-3_out.pdbqt,1,,,
16805,-12.341,ligand16805_prepared-2_out.pdbqt,1,,,
16925,-13.042,ligand16925_prepared-3_out.pdbqt,1,,,
17580,-11.733,ligand17580_prepared-1_out.pdbqt,1,,,
18027,-12.278,ligand18027_prepared-3_out.pdbqt,1,,,
18164,-11.818,ligand18164_prepared-1_out.pdbqt,1,,,
18226,-11.705,ligand18226_prepared-2_out.pdbqt,1,,,
18334,-11.702,ligand18334_prepared-1_out.pdbqt,1,,,
18675,-11.873,ligand18675_prepared-1_out.pdbqt,1,,,
18780,-11.796,ligand18780_prepared-1_out.pdbqt,1,,,
18816,-12.064,ligand18816_prepared-1_out.pdbqt,1,,,
18969,-11.727,ligand18969_prepared-1_out.pdbqt,1,,,
19116,-12.376,ligand19116_prepared-1_out.pdbqt,1,,,
19139,-12.781,ligand19139_prepared-1_out.pdbqt,1,,,
19552,-11.997,ligand19552_prepared-1_out.pdbqt,1,,,
20302,-11.688,ligand20302_prepared-1_out.pdbqt,1,,,
20538,-12.601,ligand20538_prepared-1_out.pdbqt,1,,,
20598,-12.718,ligand20598_prepared-1_out.pdbqt,1,,,
20832,-13.178,ligand20832_prepared-1_out.pdbqt,1,,,
20841,-12.480,ligand20841_prepared-3_out.pdbqt,1,,,
21644,-12.805,ligand21644_prepared-1_out.pdbqt,1,,,
21821,-11.714,ligand21821_prepared-1_out.pdbqt,1,,,
21867,-11.905,ligand21867_prepared-2_out.pdbqt,1,,,
21987,-12.215,ligand21987_prepared-1_out.pdbqt,1,,,
22204,-12.590,ligand22204_prepared-1_out.pdbqt,1,,,
22701,-11.881,ligand22701_prepared-1_out.pdbqt,1,,,
23311,-12.187,ligand23311_prepared-1_out.pdbqt,1,,,
23452,-11.763,ligand23452_prepared-1_out.pdbqt,1,,,
23689,-12.162,ligand23689_prepared-1_out.pdbqt,1,,,
24549,-11.716,ligand24549_prepared-1_out.pdbqt,1,,,
25080,-11.700,ligand25080_prepared-1_out.pdbqt,1,,,
25720,-13.574,ligand25720_prepared-2_out.pdbqt,1,,,
26017,-12.830,ligand26017_prepared-1_out.pdbqt,1,,,
26385,-12.032,ligand26385_prepared-1_out.pdbqt,1,,,
26699,-11.793,ligand26699_prepared-1_out.pdbqt,1,,,
26701,-11.766,ligand26701_prepared-3_out.pdbqt,1,,,
27280,-11.995,ligand27280_prepared-1_out.pdbqt,1,,,
28138,-12.405,ligand28138_prepared-17_out.pdbqt,1,,,
28204,-12.666,ligand28204_prepared-1_out.pdbqt,1,,,
28334,-12.716,ligand28334_prepared-1_out.pdbqt,1,,,
28396,-11.924,ligand28396_prepared-1_out.pdbqt,1,,,
28477,-11.693,ligand28477_prepared-1_out.pdbqt,1,,,
28563,-13.144,ligand28563_prepared-2_out.pdbqt,1,,,
28734,-12.257,ligand28734_prepared-1_out.pdbqt,1,,,
29200,-13.460,ligand29200_prepared-1_out.pdbqt,1,,,
29285,-12.079,ligand29285_prepared-1_out.pdbqt,1,,,
29496,-12.868,ligand29496_prepared-1_out.pdbqt,1,,,
29653,-12.265,ligand29653_prepared-1_out.pdbqt,1,,,
30042,-11.817,ligand30042_prepared-1_out.pdbqt,1,,,
30139,-11.956,ligand30139_prepared-1_out.pdbqt,1,,,
30439,-11.967,ligand30439_prepared-1_out.pdbqt,1,,,
30462,-11.797,ligand30462_prepared-1_out.pdbqt,1,,,
30802,-12.294,ligand30802_prepared-3_out.pdbqt,1,,,
30929,-12.324,ligand30929_prepared-1_out.pdbqt,1,,,
31539,-11.800,ligand31539_prepared-1_out.pdbqt,1,,,
31828,-12.016,ligand31828_prepared-1_out.pdbqt,1,,,
31862,-12.234,ligand31862_prepared-1_out.pdbqt,1,,,
33105,-11.707,ligand33105_prepared-1_out.pdbqt,1,,,
33182,-12.245,ligand33182_prepared-1_out.pdbqt,1,,,
33253,-12.060,ligand33253_prepared-1_out.pdbqt,1,,,
33366,-12.199,ligand33366_prepared-1_out.pdbqt,1,,,
33438,-12.306,ligand33438_prepared-1_out.pdbqt,1,,,
33738,-11.960,ligand33738_prepared-2_out.pdbqt,1,,,
35058,-13.376,ligand35058_prepared-4_out.pdbqt,1,,,
35187,-11.888,ligand35187_prepared-1_out.pdbqt,1,,,
35248,-11.983,ligand35248_prepared-1_out.pdbqt,1,,,
35683,-11.775,ligand35683_prepared-1_out.pdbqt,1,,,
35895,-11.690,ligand35895_prepared-1_out.pdbqt,1,,,
36041,-12.749,ligand36041_prepared-3_out.pdbqt,1,,,
