Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
0,-11.401,0_shifted_prepared-1_out.pdbqt,1,-11.344,-13.870,-8.241
1,-13.107,1_shifted_prepared-1_out.pdbqt,1,,,
2,-11.422,2_shifted_prepared-1_out.pdbqt,1,,,
3,-11.674,3_shifted_prepared-1_out.pdbqt,2,,,
4,-11.988,4_shifted_prepared-1_out.pdbqt,2,,,
5,-12.035,5_shifted_prepared-1_out.pdbqt,1,,,
6,-11.914,6_shifted_prepared-1_out.pdbqt,1,,,
7,-11.813,7_shifted_prepared-1_out.pdbqt,1,,,
8,-10.829,8_shifted_prepared-1_out.pdbqt,1,,,
9,-11.899,9_shifted_prepared-1_out.pdbqt,2,,,
10,-12.179,10_shifted_prepared-1_out.pdbqt,2,,,
11,-11.436,11_shifted_prepared-1_out.pdbqt,1,,,
12,-12.300,12_shifted_prepared-1_out.pdbqt,1,,,
13,-11.654,13_shifted_prepared-4_out.pdbqt,4,,,
14,-8.964,14_shifted_prepared-1_out.pdbqt,1,,,
15,-12.583,15_shifted_prepared-1_out.pdbqt,1,,,
16,-9.710,16_shifted_prepared-1_out.pdbqt,1,,,
17,-11.577,17_shifted_prepared-1_out.pdbqt,1,,,
18,-12.000,18_shifted_prepared-1_out.pdbqt,1,,,
19,-12.118,19_shifted_prepared-1_out.pdbqt,2,,,
20,-12.025,20_shifted_prepared-1_out.pdbqt,2,,,
21,-10.645,21_shifted_prepared-1_out.pdbqt,1,,,
22,-10.831,22_shifted_prepared-1_out.pdbqt,1,,,
23,-11.036,23_shifted_prepared-1_out.pdbqt,1,,,
24,-11.086,24_shifted_prepared-2_out.pdbqt,2,,,
25,-9.844,25_shifted_prepared-1_out.pdbqt,2,,,
26,-10.170,26_shifted_prepared-1_out.pdbqt,1,,,
27,-12.016,27_shifted_prepared-1_out.pdbqt,2,,,
28,-11.774,28_shifted_prepared-1_out.pdbqt,1,,,
29,-11.192,29_shifted_prepared-1_out.pdbqt,1,,,
30,-10.370,30_shifted_prepared-1_out.pdbqt,1,,,
31,-12.061,31_shifted_prepared-1_out.pdbqt,1,,,
32,-12.824,32_shifted_prepared-1_out.pdbqt,1,,,
33,-9.298,33_shifted_prepared-1_out.pdbqt,1,,,
34,-10.524,34_shifted_prepared-1_out.pdbqt,1,,,
35,-11.894,35_shifted_prepared-1_out.pdbqt,2,,,
36,-10.941,36_shifted_prepared-1_out.pdbqt,2,,,
37,-12.067,37_shifted_prepared-1_out.pdbqt,1,,,
39,-10.422,39_shifted_prepared-1_out.pdbqt,1,,,
40,-11.644,40_shifted_prepared-1_out.pdbqt,1,,,
41,-11.009,41_shifted_prepared-1_out.pdbqt,1,,,
42,-9.724,42_shifted_prepared-1_out.pdbqt,1,,,
43,-9.593,43_shifted_prepared-1_out.pdbqt,1,,,
44,-11.554,44_shifted_prepared-1_out.pdbqt,1,,,
45,-11.937,45_shifted_prepared-2_out.pdbqt,2,,,
46,-12.082,46_shifted_prepared-1_out.pdbqt,1,,,
47,-12.782,47_shifted_prepared-1_out.pdbqt,1,,,
48,-12.480,48_shifted_prepared-1_out.pdbqt,1,,,
49,-9.933,49_shifted_prepared-1_out.pdbqt,1,,,
50,-10.278,50_shifted_prepared-1_out.pdbqt,1,,,
51,-11.997,51_shifted_prepared-1_out.pdbqt,2,,,
52,-10.729,52_shifted_prepared-1_out.pdbqt,1,,,
53,-10.657,53_shifted_prepared-1_out.pdbqt,1,,,
54,-10.600,54_shifted_prepared-1_out.pdbqt,1,,,
55,-12.491,55_shifted_prepared-1_out.pdbqt,1,,,
56,-10.584,56_shifted_prepared-1_out.pdbqt,1,,,
57,-11.340,57_shifted_prepared-1_out.pdbqt,1,,,
58,-11.819,58_shifted_prepared-1_out.pdbqt,1,,,
59,-11.349,59_shifted_prepared-1_out.pdbqt,1,,,
60,-11.494,60_shifted_prepared-1_out.pdbqt,1,,,
61,-8.786,61_shifted_prepared-2_out.pdbqt,2,,,
62,-8.241,62_shifted_prepared-1_out.pdbqt,1,,,
63,-12.672,63_shifted_prepared-1_out.pdbqt,1,,,
64,-10.279,64_shifted_prepared-1_out.pdbqt,1,,,
65,-12.700,65_shifted_prepared-1_out.pdbqt,1,,,
66,-11.553,66_shifted_prepared-1_out.pdbqt,1,,,
67,-10.223,67_shifted_prepared-1_out.pdbqt,1,,,
68,-12.876,68_shifted_prepared-1_out.pdbqt,1,,,
69,-11.225,69_shifted_prepared-1_out.pdbqt,1,,,
70,-10.196,70_shifted_prepared-1_out.pdbqt,1,,,
71,-11.871,71_shifted_prepared-1_out.pdbqt,2,,,
72,-11.706,72_shifted_prepared-1_out.pdbqt,1,,,
73,-12.062,73_shifted_prepared-1_out.pdbqt,1,,,
74,-11.604,74_shifted_prepared-2_out.pdbqt,2,,,
75,-10.218,75_shifted_prepared-1_out.pdbqt,1,,,
76,-12.862,76_shifted_prepared-1_out.pdbqt,1,,,
77,-9.740,77_shifted_prepared-1_out.pdbqt,1,,,
78,-11.563,78_shifted_prepared-1_out.pdbqt,1,,,
79,-12.453,79_shifted_prepared-1_out.pdbqt,1,,,
80,-11.324,80_shifted_prepared-1_out.pdbqt,1,,,
81,-11.518,81_shifted_prepared-2_out.pdbqt,2,,,
82,-11.913,82_shifted_prepared-1_out.pdbqt,1,,,
83,-11.683,83_shifted_prepared-1_out.pdbqt,1,,,
84,-11.334,84_shifted_prepared-1_out.pdbqt,1,,,
85,-11.462,85_shifted_prepared-1_out.pdbqt,1,,,
86,-12.838,86_shifted_prepared-1_out.pdbqt,1,,,
87,-12.322,87_shifted_prepared-1_out.pdbqt,1,,,
88,-12.262,88_shifted_prepared-1_out.pdbqt,1,,,
89,-11.302,89_shifted_prepared-1_out.pdbqt,1,,,
90,-10.412,90_shifted_prepared-1_out.pdbqt,1,,,
91,-11.622,91_shifted_prepared-1_out.pdbqt,1,,,
92,-12.438,92_shifted_prepared-1_out.pdbqt,1,,,
93,-10.987,93_shifted_prepared-1_out.pdbqt,1,,,
94,-10.899,94_shifted_prepared-1_out.pdbqt,2,,,
95,-11.946,95_shifted_prepared-1_out.pdbqt,2,,,
96,-11.317,96_shifted_prepared-1_out.pdbqt,2,,,
97,-11.922,97_shifted_prepared-1_out.pdbqt,1,,,
98,-11.928,98_shifted_prepared-1_out.pdbqt,1,,,
99,-12.924,99_shifted_prepared-1_out.pdbqt,2,,,
100,-11.172,100_shifted_prepared-1_out.pdbqt,1,,,
101,-11.124,101_shifted_prepared-1_out.pdbqt,1,,,
102,-11.527,102_shifted_prepared-1_out.pdbqt,1,,,
103,-11.630,103_shifted_prepared-1_out.pdbqt,2,,,
104,-12.623,104_shifted_prepared-1_out.pdbqt,1,,,
105,-11.909,105_shifted_prepared-1_out.pdbqt,1,,,
106,-13.361,106_shifted_prepared-1_out.pdbqt,2,,,
107,-8.535,107_shifted_prepared-1_out.pdbqt,1,,,
108,-12.124,108_shifted_prepared-1_out.pdbqt,2,,,
109,-8.612,109_shifted_prepared-1_out.pdbqt,1,,,
110,-11.080,110_shifted_prepared-1_out.pdbqt,1,,,
111,-10.920,111_shifted_prepared-1_out.pdbqt,1,,,
112,-12.481,112_shifted_prepared-1_out.pdbqt,1,,,
113,-10.865,113_shifted_prepared-1_out.pdbqt,1,,,
114,-12.216,114_shifted_prepared-1_out.pdbqt,1,,,
