Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
0,-10.794,0_shifted_prepared-3_out.pdbqt,3,-10.192,-14.105,-3.504
1,-9.239,1_shifted_prepared-8_out.pdbqt,10,,,
2,-10.313,2_shifted_prepared-2_out.pdbqt,2,,,
3,-10.939,3_shifted_prepared-1_out.pdbqt,1,,,
4,-11.034,4_shifted_prepared-1_out.pdbqt,1,,,
5,-12.372,5_shifted_prepared-1_out.pdbqt,1,,,
7,-7.819,7_shifted_prepared-1_out.pdbqt,1,,,
8,-7.705,8_shifted_prepared-1_out.pdbqt,1,,,
9,-8.013,9_shifted_prepared-1_out.pdbqt,1,,,
10,-8.929,10_shifted_prepared-1_out.pdbqt,1,,,
11,-8.081,11_shifted_prepared-1_out.pdbqt,1,,,
12,-8.731,12_shifted_prepared-1_out.pdbqt,1,,,
13,-10.993,13_shifted_prepared-1_out.pdbqt,2,,,
14,-7.807,14_shifted_prepared-1_out.pdbqt,2,,,
15,-11.325,15_shifted_prepared-1_out.pdbqt,1,,,
16,-11.247,16_shifted_prepared-1_out.pdbqt,1,,,
17,-11.039,17_shifted_prepared-2_out.pdbqt,8,,,
18,-11.138,18_shifted_prepared-1_out.pdbqt,2,,,
19,-6.656,19_shifted_prepared-1_out.pdbqt,1,,,
20,-10.184,20_shifted_prepared-1_out.pdbqt,2,,,
21,-11.378,21_shifted_prepared-1_out.pdbqt,1,,,
22,-11.062,22_shifted_prepared-1_out.pdbqt,1,,,
23,-11.304,23_shifted_prepared-2_out.pdbqt,2,,,
24,-12.184,24_shifted_prepared-1_out.pdbqt,1,,,
25,-10.747,25_shifted_prepared-3_out.pdbqt,3,,,
26,-12.239,26_shifted_prepared-1_out.pdbqt,1,,,
27,-7.997,27_shifted_prepared-1_out.pdbqt,1,,,
28,-9.297,28_shifted_prepared-1_out.pdbqt,1,,,
29,-8.626,29_shifted_prepared-1_out.pdbqt,1,,,
30,-5.474,30_shifted_prepared-1_out.pdbqt,1,,,
31,-12.027,31_shifted_prepared-2_out.pdbqt,2,,,
32,-10.270,32_shifted_prepared-2_out.pdbqt,2,,,
33,-10.175,33_shifted_prepared-2_out.pdbqt,2,,,
34,-7.108,34_shifted_prepared-1_out.pdbqt,1,,,
35,-9.972,35_shifted_prepared-1_out.pdbqt,1,,,
36,-9.005,36_shifted_prepared-1_out.pdbqt,1,,,
37,-11.271,37_shifted_prepared-4_out.pdbqt,4,,,
38,-7.049,38_shifted_prepared-1_out.pdbqt,1,,,
39,-10.812,39_shifted_prepared-1_out.pdbqt,1,,,
40,-10.168,40_shifted_prepared-1_out.pdbqt,3,,,
41,-10.576,41_shifted_prepared-1_out.pdbqt,1,,,
42,-9.957,42_shifted_prepared-1_out.pdbqt,2,,,
43,-9.492,43_shifted_prepared-1_out.pdbqt,1,,,
44,-9.880,44_shifted_prepared-2_out.pdbqt,2,,,
45,-10.890,45_shifted_prepared-1_out.pdbqt,1,,,
46,-9.870,46_shifted_prepared-1_out.pdbqt,1,,,
47,-7.491,47_shifted_prepared-1_out.pdbqt,1,,,
48,-10.934,48_shifted_prepared-1_out.pdbqt,1,,,
49,-8.890,49_shifted_prepared-1_out.pdbqt,1,,,
51,-6.605,51_shifted_prepared-1_out.pdbqt,1,,,
52,-9.719,52_shifted_prepared-1_out.pdbqt,1,,,
53,-10.142,53_shifted_prepared-1_out.pdbqt,1,,,
54,-11.715,54_shifted_prepared-1_out.pdbqt,1,,,
