Ligand,Best_Score,Best_File,Total_Conformers,Average_Score,Best_Overall_Score,Worst_Overall_Score
0,-5.229,0_prepared-1_out.pdbqt,1,-9.811,-14.113,-4.617
1,-5.734,1_prepared-1_out.pdbqt,1,,,
2,-5.898,2_prepared-1_out.pdbqt,1,,,
3,-5.837,3_prepared-1_out.pdbqt,1,,,
4,-6.571,4_prepared-1_out.pdbqt,1,,,
5,-6.405,5_prepared-1_out.pdbqt,1,,,
6,-5.567,6_prepared-2_out.pdbqt,2,,,
7,-5.884,7_prepared-1_out.pdbqt,1,,,
8,-6.166,8_prepared-1_out.pdbqt,1,,,
9,-6.153,9_prepared-1_out.pdbqt,1,,,
10,-6.981,10_prepared-1_out.pdbqt,1,,,
11,-5.537,11_prepared-1_out.pdbqt,1,,,
12,-6.253,12_prepared-1_out.pdbqt,1,,,
13,-7.126,13_prepared-1_out.pdbqt,1,,,
14,-6.667,14_prepared-1_out.pdbqt,1,,,
15,-6.477,15_prepared-2_out.pdbqt,2,,,
16,-5.535,16_prepared-1_out.pdbqt,1,,,
17,-5.763,17_prepared-1_out.pdbqt,1,,,
18,-7.277,18_prepared-2_out.pdbqt,2,,,
19,-7.153,19_prepared-1_out.pdbqt,1,,,
20,-6.430,20_prepared-4_out.pdbqt,5,,,
21,-5.953,21_prepared-1_out.pdbqt,1,,,
22,-7.000,22_prepared-3_out.pdbqt,3,,,
23,-6.855,23_prepared-1_out.pdbqt,1,,,
24,-7.522,24_prepared-1_out.pdbqt,1,,,
25,-4.697,25_prepared-1_out.pdbqt,1,,,
26,-6.491,26_prepared-1_out.pdbqt,2,,,
27,-7.017,27_prepared-1_out.pdbqt,1,,,
28,-7.370,28_prepared-1_out.pdbqt,1,,,
29,-6.744,29_prepared-1_out.pdbqt,1,,,
30,-6.719,30_prepared-2_out.pdbqt,6,,,
31,-6.631,31_prepared-2_out.pdbqt,2,,,
32,-6.752,32_prepared-1_out.pdbqt,1,,,
33,-6.928,33_prepared-1_out.pdbqt,1,,,
34,-7.791,34_prepared-1_out.pdbqt,1,,,
35,-7.111,35_prepared-1_out.pdbqt,1,,,
36,-7.117,36_prepared-1_out.pdbqt,1,,,
37,-7.125,37_prepared-1_out.pdbqt,1,,,
38,-6.790,38_prepared-1_out.pdbqt,1,,,
39,-7.394,39_prepared-1_out.pdbqt,2,,,
40,-8.541,40_prepared-1_out.pdbqt,1,,,
41,-4.617,41_prepared-1_out.pdbqt,1,,,
42,-7.493,42_prepared-1_out.pdbqt,1,,,
43,-7.201,43_prepared-1_out.pdbqt,1,,,
44,-7.646,44_prepared-1_out.pdbqt,1,,,
45,-7.397,45_prepared-1_out.pdbqt,1,,,
46,-8.177,46_prepared-1_out.pdbqt,1,,,
47,-7.992,47_prepared-1_out.pdbqt,1,,,
48,-9.302,48_prepared-2_out.pdbqt,2,,,
49,-7.037,49_prepared-1_out.pdbqt,1,,,
50,-6.920,50_prepared-1_out.pdbqt,1,,,
51,-8.409,51_prepared-1_out.pdbqt,1,,,
52,-8.189,52_prepared-2_out.pdbqt,2,,,
53,-7.362,53_prepared-1_out.pdbqt,1,,,
54,-7.361,54_prepared-1_out.pdbqt,1,,,
55,-9.988,55_prepared-1_out.pdbqt,1,,,
56,-8.800,56_prepared-1_out.pdbqt,1,,,
57,-6.918,57_prepared-1_out.pdbqt,1,,,
58,-9.893,58_prepared-1_out.pdbqt,1,,,
59,-9.711,59_prepared-1_out.pdbqt,1,,,
60,-10.394,60_prepared-1_out.pdbqt,2,,,
61,-8.659,61_prepared-1_out.pdbqt,1,,,
62,-8.811,62_prepared-1_out.pdbqt,1,,,
63,-9.749,63_prepared-1_out.pdbqt,1,,,
64,-8.641,64_prepared-1_out.pdbqt,1,,,
65,-9.881,65_prepared-1_out.pdbqt,1,,,
66,-10.048,66_prepared-1_out.pdbqt,1,,,
67,-9.416,67_prepared-1_out.pdbqt,1,,,
68,-9.413,68_prepared-1_out.pdbqt,1,,,
69,-8.251,69_prepared-1_out.pdbqt,1,,,
70,-10.048,70_prepared-1_out.pdbqt,1,,,
71,-10.442,71_prepared-4_out.pdbqt,5,,,
72,-7.896,72_prepared-1_out.pdbqt,1,,,
73,-9.073,73_prepared-1_out.pdbqt,1,,,
74,-9.238,74_prepared-1_out.pdbqt,2,,,
75,-8.735,75_prepared-1_out.pdbqt,1,,,
76,-9.787,76_prepared-1_out.pdbqt,1,,,
77,-8.861,77_prepared-1_out.pdbqt,1,,,
78,-11.845,78_prepared-1_out.pdbqt,1,,,
79,-8.311,79_prepared-1_out.pdbqt,1,,,
80,-9.745,80_prepared-1_out.pdbqt,1,,,
81,-8.228,81_prepared-1_out.pdbqt,1,,,
82,-9.561,82_prepared-1_out.pdbqt,1,,,
83,-9.967,83_prepared-2_out.pdbqt,2,,,
84,-9.642,84_prepared-1_out.pdbqt,1,,,
85,-8.000,85_prepared-1_out.pdbqt,1,,,
86,-8.987,86_prepared-1_out.pdbqt,1,,,
87,-11.601,87_prepared-1_out.pdbqt,1,,,
88,-9.522,88_prepared-1_out.pdbqt,1,,,
89,-8.585,89_prepared-1_out.pdbqt,1,,,
90,-9.567,90_prepared-1_out.pdbqt,1,,,
91,-9.059,91_prepared-1_out.pdbqt,1,,,
92,-9.661,92_prepared-1_out.pdbqt,1,,,
93,-8.149,93_prepared-1_out.pdbqt,1,,,
94,-9.110,94_prepared-2_out.pdbqt,2,,,
95,-9.935,95_prepared-3_out.pdbqt,3,,,
96,-9.607,96_prepared-1_out.pdbqt,3,,,
97,-9.827,97_prepared-1_out.pdbqt,1,,,
98,-7.093,98_prepared-1_out.pdbqt,1,,,
99,-9.885,99_prepared-2_out.pdbqt,3,,,
100,-8.344,100_prepared-1_out.pdbqt,1,,,
101,-9.509,101_prepared-1_out.pdbqt,1,,,
102,-9.625,102_prepared-1_out.pdbqt,1,,,
103,-10.985,103_prepared-1_out.pdbqt,1,,,
104,-9.446,104_prepared-1_out.pdbqt,2,,,
105,-11.370,105_prepared-1_out.pdbqt,2,,,
106,-9.884,106_prepared-2_out.pdbqt,2,,,
107,-8.948,107_prepared-3_out.pdbqt,3,,,
108,-10.005,108_prepared-1_out.pdbqt,1,,,
109,-10.002,109_prepared-1_out.pdbqt,1,,,
110,-9.296,110_prepared-1_out.pdbqt,1,,,
111,-8.948,111_prepared-1_out.pdbqt,1,,,
112,-11.175,112_prepared-2_out.pdbqt,2,,,
113,-10.826,113_prepared-1_out.pdbqt,2,,,
114,-10.684,114_prepared-3_out.pdbqt,5,,,
115,-11.139,115_prepared-2_out.pdbqt,2,,,
116,-9.933,116_prepared-1_out.pdbqt,1,,,
117,-10.211,117_prepared-2_out.pdbqt,5,,,
118,-10.320,118_prepared-1_out.pdbqt,1,,,
119,-10.082,119_prepared-1_out.pdbqt,1,,,
120,-10.625,120_prepared-1_out.pdbqt,1,,,
121,-10.625,121_prepared-2_out.pdbqt,2,,,
122,-11.198,122_prepared-1_out.pdbqt,1,,,
123,-10.991,123_prepared-1_out.pdbqt,1,,,
124,-9.501,124_prepared-1_out.pdbqt,1,,,
125,-7.594,125_prepared-2_out.pdbqt,2,,,
126,-9.803,126_prepared-1_out.pdbqt,5,,,
127,-10.010,127_prepared-1_out.pdbqt,1,,,
128,-11.415,128_prepared-2_out.pdbqt,2,,,
129,-9.803,129_prepared-1_out.pdbqt,1,,,
130,-9.592,130_prepared-1_out.pdbqt,1,,,
131,-10.188,131_prepared-1_out.pdbqt,1,,,
132,-8.953,132_prepared-1_out.pdbqt,1,,,
133,-8.879,133_prepared-2_out.pdbqt,3,,,
134,-9.602,134_prepared-2_out.pdbqt,2,,,
135,-9.821,135_prepared-1_out.pdbqt,1,,,
136,-12.087,136_prepared-2_out.pdbqt,2,,,
137,-10.704,137_prepared-1_out.pdbqt,1,,,
138,-8.312,138_prepared-1_out.pdbqt,2,,,
139,-10.638,139_prepared-1_out.pdbqt,1,,,
140,-9.943,140_prepared-3_out.pdbqt,3,,,
141,-10.169,141_prepared-1_out.pdbqt,1,,,
142,-10.551,142_prepared-1_out.pdbqt,1,,,
143,-9.347,143_prepared-1_out.pdbqt,1,,,
144,-10.749,144_prepared-1_out.pdbqt,1,,,
145,-10.078,145_prepared-1_out.pdbqt,1,,,
146,-8.801,146_prepared-1_out.pdbqt,1,,,
147,-10.264,147_prepared-1_out.pdbqt,2,,,
148,-10.610,148_prepared-6_out.pdbqt,7,,,
149,-10.497,149_prepared-1_out.pdbqt,1,,,
150,-10.879,150_prepared-1_out.pdbqt,1,,,
151,-11.776,151_prepared-2_out.pdbqt,2,,,
152,-8.458,152_prepared-1_out.pdbqt,1,,,
153,-10.356,153_prepared-2_out.pdbqt,2,,,
154,-10.335,154_prepared-1_out.pdbqt,1,,,
155,-11.578,155_prepared-1_out.pdbqt,2,,,
156,-10.804,156_prepared-1_out.pdbqt,1,,,
157,-9.444,157_prepared-2_out.pdbqt,2,,,
158,-10.407,158_prepared-1_out.pdbqt,1,,,
159,-7.840,159_prepared-1_out.pdbqt,1,,,
160,-10.601,160_prepared-3_out.pdbqt,3,,,
161,-8.780,161_prepared-1_out.pdbqt,1,,,
162,-9.117,162_prepared-1_out.pdbqt,1,,,
163,-10.862,163_prepared-1_out.pdbqt,1,,,
164,-9.849,164_prepared-1_out.pdbqt,1,,,
165,-11.769,165_prepared-1_out.pdbqt,2,,,
166,-9.423,166_prepared-2_out.pdbqt,3,,,
167,-10.077,167_prepared-1_out.pdbqt,1,,,
168,-10.139,168_prepared-4_out.pdbqt,11,,,
169,-9.982,169_prepared-1_out.pdbqt,1,,,
170,-10.404,170_prepared-1_out.pdbqt,1,,,
171,-10.804,171_prepared-1_out.pdbqt,2,,,
172,-8.741,172_prepared-3_out.pdbqt,3,,,
173,-10.350,173_prepared-2_out.pdbqt,4,,,
174,-9.885,174_prepared-3_out.pdbqt,3,,,
175,-10.320,175_prepared-1_out.pdbqt,1,,,
176,-8.869,176_prepared-1_out.pdbqt,1,,,
177,-9.263,177_prepared-3_out.pdbqt,3,,,
178,-11.654,178_prepared-2_out.pdbqt,2,,,
179,-11.873,179_prepared-1_out.pdbqt,2,,,
180,-10.672,180_prepared-1_out.pdbqt,1,,,
181,-10.610,181_prepared-1_out.pdbqt,5,,,
182,-9.777,182_prepared-1_out.pdbqt,1,,,
183,-8.519,183_prepared-1_out.pdbqt,1,,,
184,-9.696,184_prepared-1_out.pdbqt,1,,,
185,-10.292,185_prepared-5_out.pdbqt,7,,,
186,-10.619,186_prepared-1_out.pdbqt,3,,,
187,-10.949,187_prepared-1_out.pdbqt,2,,,
188,-9.360,188_prepared-1_out.pdbqt,1,,,
